dataset;algoritmo;MV;metric2
Boeing_898_MNAR;pipeline;90;0.52
Boeing_898_MNAR;baseline;90;0.99
Boeing_898_MNAR;pipeline;180;0.57
Boeing_898_MNAR;baseline;180;1.0
Boeing_898_MNAR;pipeline;269;0.62
Boeing_898_MNAR;baseline;269;0.99
Boeing_898_MNAR;pipeline;359;0.6
Boeing_898_MNAR;baseline;359;1.0
Boeing_898_MNAR;pipeline;449;0.62
Boeing_898_MNAR;baseline;449;1.0
Boeing_898_MNAR;pipeline;898;0.56
Boeing_898_MNAR;baseline;898;1.0
Boeing_898_MNAR;pipeline;1796;0.52
Boeing_898_MNAR;baseline;1796;0.86
Boeing_898_MNAR;pipeline;2694;0.5
Boeing_898_MNAR;baseline;2694;0.46
Boeing_898_MNAR;pipeline;3592;0.25
Boeing_898_MNAR;baseline;3592;0.36
Boeing_898_MNAR;pipeline;4490;0.14
Boeing_898_MNAR;baseline;4490;0.32
cars_MNAR;pipeline;37;0.69
cars_MNAR;baseline;37;0.74
cars_MNAR;pipeline;73;0.66
cars_MNAR;baseline;73;0.79
cars_MNAR;pipeline;110;0.69
cars_MNAR;baseline;110;0.76
cars_MNAR;pipeline;146;0.68
cars_MNAR;baseline;146;0.74
cars_MNAR;pipeline;183;0.69
cars_MNAR;baseline;183;0.73
cars_MNAR;pipeline;365;0.73
cars_MNAR;baseline;365;0.63
cars_MNAR;pipeline;731;0.59
cars_MNAR;baseline;731;0.54
cars_MNAR;pipeline;1096;0.48
cars_MNAR;baseline;1096;0.34
cars_MNAR;pipeline;1462;0.37
cars_MNAR;baseline;1462;0.3
cars_MNAR;pipeline;1827;0.37
cars_MNAR;baseline;1827;0.25
police_MNAR;pipeline;198;0.06
police_MNAR;baseline;198;0.15
police_MNAR;pipeline;397;0.08
police_MNAR;baseline;397;0.31
police_MNAR;pipeline;595;0.06
police_MNAR;baseline;595;0.47
police_MNAR;pipeline;793;0.11
police_MNAR;baseline;793;0.59
police_MNAR;pipeline;992;0.09
police_MNAR;baseline;992;0.61
police_MNAR;pipeline;1984;0.24
police_MNAR;baseline;1984;0.84
police_MNAR;pipeline;3967;0.22
police_MNAR;baseline;3967;0.89
police_MNAR;pipeline;5951;0.28
police_MNAR;baseline;5951;0.74
police_MNAR;pipeline;7934;0.41
police_MNAR;baseline;7934;0.62
police_MNAR;pipeline;9918;0.44
police_MNAR;baseline;9918;0.49
restaurant_MNAR;pipeline;52;0.08
restaurant_MNAR;baseline;52;0.22
restaurant_MNAR;pipeline;104;0.08
restaurant_MNAR;baseline;104;0.34
restaurant_MNAR;pipeline;156;0.08
restaurant_MNAR;baseline;156;0.64
restaurant_MNAR;pipeline;207;0.12
restaurant_MNAR;baseline;207;0.69
restaurant_MNAR;pipeline;259;0.15
restaurant_MNAR;baseline;259;0.73
restaurant_MNAR;pipeline;518;0.15
restaurant_MNAR;baseline;518;0.83
restaurant_MNAR;pipeline;1037;0.27
restaurant_MNAR;baseline;1037;0.92
restaurant_MNAR;pipeline;1555;0.33
restaurant_MNAR;baseline;1555;0.78
restaurant_MNAR;pipeline;2074;0.23
restaurant_MNAR;baseline;2074;0.68
restaurant_MNAR;pipeline;2592;0.36
restaurant_MNAR;baseline;2592;0.57
