Second Class;CH-12070;?;?;Detroit;Michigan;?;TEC-PH-10001809;Phones;Panasonic KX T7736-B Digital phone;299.9
Standard Class;BS-11380;?;Corporate;?;?;West;OFF-ST-10000736;?;Carina Double Wide Media Storage Towers in Natural & Black;?
?;DV-13465;?;?;Oceanside;?;?;?;?;?;13.98
Standard Class;TP-21415;?;Consumer;Freeport;New York;?;?;Furnishings;?;322.59
?;TS-21505;Tony Sayre;?;Concord;?;East;?;?;Luxo Professional Combination Clamp-On Lamps;102.3
First Class;VM-21835;Vivian Mathis;Consumer;Boca Raton;?;South;?;Accessories;?;?
Standard Class;?;?;Consumer;?;?;West;OFF-BI-10001543;Binders;GBC VeloBinder Manual Binding System;57.58
Standard Class;?;?;?;Dallas;Texas;?;?;Paper;Xerox 196;4.62
?;CA-12775;Cynthia Arntzen;Consumer;Philadelphia;?;?;OFF-BI-10004230;Binders;GBC Recycled Grain Textured Covers;?
?;JC-15775;John Castell;Consumer;?;Pennsylvania;East;FUR-TA-10001771;?;?;?
Standard Class;SJ-20215;Sarah Jordon;Consumer;Chicago;?;?;OFF-AR-10001683;?;Lumber Crayons;15.76
First Class;TB-21625;Trudy Brown;Consumer;?;?;West;?;?;Xerox 1920;?
First Class;?;Todd Sumrall;Corporate;?;California;?;?;Storage;?;141.4
?;HG-14845;?;Consumer;Houston;Texas;Central;?;Paper;Easy-staple paper;56.7
Standard Class;Dp-13240;?;Home Office;?;?;South;?;?;KI Adjustable-Height Table;?
Standard Class;?;?;Corporate;Camarillo;?;West;?;?;?;509.96
Standard Class;?;Bill Donatelli;Consumer;Woodland;California;?;?;Phones;Polycom CX300 Desktop Phone USB VoIP phone;?
First Class;AB-10165;Alan Barnes;?;?;Ohio;?;OFF-PA-10004971;?;?;13.87
?;MT-18070;Michelle Tran;Home Office;Tulsa;Oklahoma;Central;OFF-BI-10003305;?;Avery Hanging File Binders;?
Second Class;?;Katharine Harms;Corporate;New York City;?;?;FUR-FU-10000820;Furnishings;Tensor Brushed Steel Torchiere Floor Lamp;50.97
?;MG-17650;Matthew Grinstein;Home Office;Marion;?;East;FUR-FU-10002885;?;Magna Visual Magnetic Picture Hangers;7.71
Same Day;?;?;Corporate;?;?;West;OFF-AP-10001005;Appliances;Honeywell Quietcare HEPA Air Cleaner;?
First Class;JE-15610;Jim Epp;Corporate;?;Florida;South;?;?;Hunt PowerHouse Electric Pencil Sharpener Blue;60.77
?;?;?;Home Office;New York City;New York;?;?;Binders;?;41.28
?;?;Frank Atkinson;Corporate;Orlando;?;South;OFF-ST-10003327;?;?;39.72
Second Class;KB-16585;Ken Black;?;Hialeah;Florida;South;FUR-CH-10000988;Chairs;Hon Olson Stacker Stools;1013.83
Standard Class;?;Fred McMath;Consumer;?;?;East;OFF-LA-10001474;Labels;Avery 477;?
First Class;KT-16480;?;Consumer;Philadelphia;Pennsylvania;?;?;?;Hewlett Packard LaserJet 3310 Copier;1799.97
Standard Class;?;Erin Ashbrook;Corporate;Carrollton;Texas;?;?;?;Xerox 206;10.37
?;?;Denise Monton;Corporate;Orange;?;East;OFF-BI-10000546;Binders;Avery Durable Binders;5.76
First Class;JE-15745;Joel Eaton;Consumer;?;Colorado;West;?;Accessories;KeyTronic 6101 Series - Keyboard - Black;?
Standard Class;?;Rick Reed;Corporate;?;Kansas;?;OFF-PA-10003673;?;Strathmore Photo Mount Cards;13.56
?;PF-19165;Philip Fox;?;?;?;South;?;Art;?;35.97
?;PK-19075;Pete Kriz;Consumer;?;New York;East;?;Binders;?;?
?;?;?;Corporate;Los Angeles;California;?;TEC-AC-10003038;?;Kingston Digital DataTraveler 16GB USB 2.0;?
First Class;?;?;?;?;Texas;Central;?;?;?;?
Second Class;ND-18460;?;?;Macon;Georgia;South;?;Paper;Xerox 1931;38.88
First Class;?;?;Consumer;?;?;West;OFF-PA-10000552;?;Xerox 200;12.96
Second Class;MG-18205;Mitch Gastineau;Corporate;?;?;South;OFF-BI-10003712;?;Acco Pressboard Covers with Storage Hooks 14 7/8 x 11 Light Blue;?
?;CR-12625;?;Home Office;Columbus;?;South;FUR-CH-10001146;Chairs;?;121.78
Standard Class;CC-12430;?;Home Office;Concord;?;?;?;Accessories;?;29.99
?;SP-20920;?;?;?;California;West;?;?;?;3.62
Same Day;GZ-14470;?;Consumer;Columbia;?;East;OFF-AP-10002945;?;?;901.95
?;ES-14080;?;Corporate;?;Arizona;West;?;Phones;Bose SoundLink Bluetooth Speaker;318.4
?;?;Marina Lichtenstein;Corporate;?;California;?;?;Accessories;?;116.0
First Class;JM-16195;Justin MacKendrick;?;?;?;West;OFF-AP-10000828;?;Avanti 4.4 Cu. Ft. Refrigerator;542.94
?;?;Giulietta Dortch;Corporate;?;?;?;TEC-PH-10004667;Phones;?;728.95
Same Day;?;Chris Cortes;Consumer;Fairfield;?;East;?;Envelopes;Convenience Packs of Business Envelopes;10.86
Second Class;NP-18685;Nora Pelletier;Home Office;Indianapolis;?;?;TEC-CO-10002095;Copiers;Hewlett Packard 610 Color Digital Copier / Printer;?
?;TS-21370;?;Corporate;Wilmington;?;?;OFF-BI-10004492;Binders;?;?
Same Day;JF-15415;Jennifer Ferguson;?;?;Washington;West;OFF-PA-10002005;Paper;?;19.44
Standard Class;SE-20110;Sanjit Engle;?;San Jose;California;West;OFF-ST-10000675;Storage;File Shuttle II and Handi-File Black;169.45
First Class;PF-19225;?;?;Edmonds;Washington;West;?;Phones;?;?
Standard Class;?;?;Home Office;?;California;West;?;Bookcases;?;120.67
?;?;Craig Yedwab;Corporate;?;?;?;FUR-FU-10004306;?;Electrix Halogen Magnifier Lamp;?
Second Class;MH-18025;?;?;Seattle;Washington;West;?;?;Sauder Forest Hills Library Woodland Oak Finish;704.9
?;KM-16375;?;Home Office;Salem;?;?;OFF-EN-10002230;?;?;251.79
Standard Class;TZ-21580;?;?;?;California;West;OFF-FA-10000992;?;?;10.65
Standard Class;SJ-20125;Sanjit Jacobs;Home Office;?;?;Central;?;Binders;Pressboard Hanging Data Binders for Unburst Sheets;8.86
?;JA-15970;Joseph Airdo;Consumer;Springfield;Oregon;West;?;Machines;?;29.92
