riga;nome attributo;valore da imputare;valore imputato
766;sleep_hours;6.5;?
429;age;21;?
6;social_media_hours;1.3;?
296;netflix_hours;1.4;?
881;sleep_hours;6.1;?
359;study_hours_per_day;5.3;?
675;attendance_percentage;81.6;?
883;gender;Male;?
736;attendance_percentage;84.8;?
431;mental_health_rating;1;?
546;netflix_hours;2.2;?
393;age;20;17
363;exam_score;92.0;?
513;attendance_percentage;86.7;?
127;sleep_hours;7.0;?
476;social_media_hours;3.4;?
506;mental_health_rating;1;?
892;gender;Female;?
588;attendance_percentage;96.7;?
131;age;17;18
814;parental_education_level;Bachelor;?
737;exercise_frequency;5;?
277;exam_score;61.6;?
594;gender;Female;Other
573;netflix_hours;2.4;?
213;netflix_hours;0.9;?
476;sleep_hours;6.6;?
734;gender;Male;?
654;exercise_frequency;3;?
633;study_hours_per_day;3.3;?
685;exam_score;59.3;?
623;netflix_hours;1.2;?
685;attendance_percentage;67.5;?
55;study_hours_per_day;3.9;2.4
54;social_media_hours;2.0;?
316;mental_health_rating;10;?
715;social_media_hours;0.5;?
194;exercise_frequency;6;?
304;parental_education_level;Master;?
481;exercise_frequency;6;?
683;gender;Male;?
703;age;21;?
555;exam_score;100.0;?
256;exercise_frequency;5;?
261;social_media_hours;4.2;?
362;attendance_percentage;67.5;?
188;gender;Other;?
736;parental_education_level;Bachelor;?
255;gender;Female;?
901;gender;Male;?
563;parental_education_level;High School;?
742;exam_score;48.5;?
169;parental_education_level;Bachelor;High School
774;parental_education_level;Master;?
189;mental_health_rating;10;?
602;exam_score;75.6;?
839;parental_education_level;High School;?
346;netflix_hours;3.6;?
413;attendance_percentage;69.9;?
148;gender;Female;?
562;mental_health_rating;1;?
255;parental_education_level;High School;?
371;gender;Male;Female
656;mental_health_rating;4;?
570;study_hours_per_day;2.4;?
373;sleep_hours;6.3;?
5;exam_score;66.4;?
367;exercise_frequency;0;?
897;exam_score;56.2;?
670;parental_education_level;Bachelor;?
802;sleep_hours;6.5;?
44;mental_health_rating;5;?
502;social_media_hours;3.1;?
390;sleep_hours;5.9;?
113;exercise_frequency;1;?
118;social_media_hours;1.8;?
644;attendance_percentage;99.5;?
363;exercise_frequency;5;?
367;social_media_hours;2.9;?
762;study_hours_per_day;3.3;?
864;exam_score;61.7;?
8;sleep_hours;4.6;?
816;parental_education_level;High School;?
261;netflix_hours;1.1;?
99;exercise_frequency;4;?
756;exercise_frequency;2;?
770;social_media_hours;1.9;?
536;sleep_hours;6.1;?
498;sleep_hours;7.3;?
897;exercise_frequency;1;?
50;netflix_hours;3.6;?
577;netflix_hours;1.8;?
633;exercise_frequency;0;?
60;attendance_percentage;93.1;?
771;attendance_percentage;83.9;?
102;study_hours_per_day;5.4;4.8
477;exercise_frequency;0;?
876;netflix_hours;0.6;?
101;study_hours_per_day;2.4;?
670;gender;Male;?
894;attendance_percentage;97.5;?
551;sleep_hours;6.3;?
122;netflix_hours;3.2;?
653;mental_health_rating;8;?
649;social_media_hours;1.7;?
560;exam_score;79.3;?
116;attendance_percentage;81.6;?
615;sleep_hours;7.4;?
38;gender;Male;?
190;gender;Female;?
369;social_media_hours;1.3;?
857;parental_education_level;Bachelor;?
843;sleep_hours;7.8;?
242;study_hours_per_day;4.3;?
609;age;22;?
496;study_hours_per_day;4.5;?
82;age;19;24
364;social_media_hours;3.1;?
295;gender;Male;Other
192;parental_education_level;High School;?
907;mental_health_rating;9;?
473;exercise_frequency;2;?
548;mental_health_rating;8;?
205;netflix_hours;2.9;?
846;social_media_hours;3.0;?
476;parental_education_level;High School;?
748;mental_health_rating;7;?
494;parental_education_level;Bachelor;?
219;parental_education_level;High School;?
44;netflix_hours;1.1;?
341;netflix_hours;3.4;?
179;attendance_percentage;93.4;?
224;gender;Female;?
609;attendance_percentage;81.2;?
17;sleep_hours;7.5;?
252;gender;Female;Female
174;sleep_hours;7.9;?
31;age;17;?
11;age;23;?
205;social_media_hours;2.4;?
720;sleep_hours;8.5;?
905;attendance_percentage;77.0;?
95;study_hours_per_day;3.4;?
824;exam_score;43.4;?
41;exercise_frequency;3;?
824;exercise_frequency;3;?
294;netflix_hours;3.3;?
81;social_media_hours;4.4;?
679;age;18;?
95;netflix_hours;3.4;?
385;age;18;?
482;netflix_hours;2.4;?
868;netflix_hours;0.0;?
350;exam_score;67.7;?
651;parental_education_level;High School;?
799;parental_education_level;High School;?
391;study_hours_per_day;2.9;?
388;parental_education_level;Bachelor;?
340;social_media_hours;1.1;?
790;sleep_hours;6.3;?
78;attendance_percentage;100.0;?
850;exam_score;41.7;?
619;parental_education_level;Bachelor;?
104;netflix_hours;0.8;?
857;sleep_hours;5.6;?
324;age;17;?
255;exam_score;58.6;?
784;gender;Female;?
75;exam_score;77.3;?
845;netflix_hours;1.7;?
710;exercise_frequency;2;?
687;parental_education_level;Master;?
34;attendance_percentage;84.2;?
399;age;24;?
166;gender;Male;?
409;gender;Female;?
849;mental_health_rating;2;?
641;gender;Other;?
856;netflix_hours;1.7;?
392;netflix_hours;3.2;?
781;social_media_hours;3.9;?
319;age;20;?
646;attendance_percentage;83.2;?
859;exam_score;63.2;?
737;social_media_hours;4.9;?
744;sleep_hours;6.9;?
350;gender;Male;?
167;attendance_percentage;93.2;?
52;study_hours_per_day;3.1;?
66;exercise_frequency;0;?
757;sleep_hours;6.5;?
148;mental_health_rating;7;?
568;sleep_hours;8.1;?
276;age;24;?
600;parental_education_level;High School;?
62;age;23;24
843;mental_health_rating;7;?
405;parental_education_level;Master;?
875;exam_score;89.1;?
445;study_hours_per_day;5.0;?
