riga;nome attributo;valore da imputare;valore imputato
858;candidate_first_name;nan;?
588;state_fips;47;?
1184;state_po;VA;?
3412;party_simplified;OTHER;?
2276;state;IOWA;IOWA
1602;state_po;DE;?
1481;candidate_first_name;ANDRE;?
3425;state_fips;12;?
3460;state_po;ID;?
841;candidate_first_name;RONALD;?
738;totalvotes;1021991;1279303
2511;party_detailed;SOCIALISM AND LIBERATION PARTY;?
1701;party_detailed;GREEN;?
2861;state_po;IA;?
3197;totalvotes;2808605;2808605
1199;year;1988;?
2081;totalvotes;6960215;6960215
3589;party_detailed;DEMOCRAT;?
3331;state_fips;2;?
2250;party_simplified;DEMOCRAT;?
933;state_fips;53;53
1756;state;NEW YORK;?
1978;candidate_first_name;JAMES;?
791;candidatevotes;582377;236320
1846;state_po;VT;?
2696;candidate_first_name;CYNTHIA;?
2211;party_simplified;DEMOCRAT;?
683;candidate_first_name;MELVIN;?
3275;state_fips;45;?
2589;candidate_first_name;RALPH;?
2787;state;ARIZONA;?
3163;totalvotes;2781446;2781446
72;candidatevotes;1947;1116230
2534;totalvotes;8390744;8390744
779;candidate_first_name;DENNIS;?
1071;totalvotes;2093228;931527
2460;year;2004;?
1778;state;OHIO;?
3309;totalvotes;3317019;1555534
676;candidate_first_name;SONIA;?
675;state_po;CA;?
13;candidate_first_name;ROGER;?
3670;candidate_last_name;TRUMP;?
1512;party_simplified;OTHER;?
105;state_po;LA;?
2421;party_detailed;LIBERTARIAN;RON DANIELS INDEPENDENT
2863;state;IOWA;?
2996;party_detailed;CONSTITUTION PARTY;?
593;state_po;TN;?
3691;state_po;TX;?
578;state_fips;45;?
3276;candidatevotes;5765;?
2939;state;NEW JERSEY;?
2491;candidate_first_name;CYNTHIA;?
2150;year;2000;?
2900;state_fips;26;?
439;state_fips;23;?
2625;candidatevotes;4011;?
1772;candidate_last_name;BROWNE;?
3541;party_detailed;THE BIRTHDAY PARTY;?
1192;candidate_last_name;FULANI;?
2714;state_fips;44;?
1425;candidate_last_name;DODGE;?
1687;state_po;MA;?
444;year;1980;?
295;year;1976;?
2637;state;MONTANA;?
3043;candidate_last_name;GOODE;?
79;state_po;IA;?
2301;candidate_first_name;GEORGE W.;?
1321;candidatevotes;211478;?
870;state_fips;42;?
1710;party_simplified;DEMOCRAT;?
1618;candidate_last_name;BROWNE;?
3231;year;2016;?
2816;state_fips;9;?
84;state_fips;20;?
2992;state;SOUTH CAROLINA;?
2196;state;ALASKA;?
320;candidate_last_name;ANDERSON;?
3578;totalvotes;3025962;1953600
1680;candidatevotes;681530;206504
2569;state_po;IA;?
1794;year;1996;?
3444;state;GEORGIA;?
85;party_simplified;OTHER;?
3343;party_detailed;INDEPENDENT;?
2888;state;MARYLAND;IDAHO
486;party_simplified;OTHER;?
2177;candidatevotes;336475;?
2056;totalvotes;609426;606749
1289;state_fips;17;?
2685;year;2008;?
2377;party_simplified;DEMOCRAT;?
2985;state_po;RI;?
2180;candidate_last_name;BUCHANAN;?
2714;state;RHODE ISLAND;?
3749;totalvotes;3298041;6915283
3414;candidate_first_name;JOSEPH R. JR;?
1497;state_po;UT;?
2470;party_detailed;REPUBLICAN;?
859;candidatevotes;7130;?
2064;party_simplified;OTHER;?
1115;state_po;NY;?
2491;state_po;AR;?
176;party_detailed;SOCIALIST WORKERS;?
3118;candidatevotes;12737;?
958;candidate_first_name;RONALD RON;?
239;state;RHODE ISLAND;?
1412;totalvotes;3343594;1182850
130;candidate_last_name;MCCARTHY;?
1140;state;PENNSYLVANIA;CALIFORNIA
711;state_fips;16;?
1629;candidatevotes;358;?
1956;state_po;ID;?
553;party_simplified;OTHER;?
3531;state_po;MD;?
136;totalvotes;1949931;3651590
2903;candidate_first_name;GARY;?
22;state_fips;6;?
2608;party_detailed;GREEN;?
3269;state_po;RI;?
727;state;IOWA;?
