riga;nome attributo;valore da imputare;valore imputato
2323;total_discharges;12;?
1701;provider_street_address;524 DR MICHAEL DEBAKEY STREET;524 DR MICHAEL DEBAKEY STREET
666;hospital_referral_region_(hrr)_description;AZ - Phoenix;?
427;codice;190;?
208;hospital_referral_region_(hrr)_description;KY - Louisville;KY - Louisville
1803;provider_id;390164;?
794;average_medicare_payments;7355.0;?
1860;codice;377;?
579;descrizione;CHEST PAIN;CHEST PAIN
1652;average_medicare_payments;3697.0;?
211;provider_name;COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK;?
1343;provider_street_address;551 HILL COUNTRY DRIVE;551 HILL COUNTRY DRIVE
1511;codice;379;?
1167;provider_state;FL;FL
1276;average_total_payments;29326.0;?
1753;provider_city;NEW YORK;?
1592;descrizione;MAJOR CARDIOVASC PROCEDURES WO MCC;MAJOR CARDIOVASC PROCEDURES WO MCC
358;provider_city;GILROY;GILROY
411;average_covered_charges;34195.0;?
2110;hospital_referral_region_(hrr)_description;NY - Manhattan;NY - Manhattan
2259;provider_street_address;1823 COLLEGE AVE;1823 COLLEGE AVE
2230;codice;683;?
1572;provider_street_address;4802 TENTH AVENUE;4802 TENTH AVENUE
106;codice;300;?
1490;hospital_referral_region_(hrr)_description;NC - Greensboro;NC - Greensboro
1113;total_discharges;99;?
1792;average_covered_charges;71088.0;?
2498;total_discharges;30;?
1226;provider_id;390101;?
1442;provider_state;PA;?
1671;descrizione;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC;INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC
115;average_total_payments;10236.0;?
2148;average_total_payments;15294.0;?
1444;average_medicare_payments;16512.0;?
2216;average_medicare_payments;6603.0;?
904;total_discharges;79;?
90;provider_street_address;LANGHORNE-NEWTOWN RD;LANGHORNE-NEWTOWN RD
1074;descrizione;KIDNEY & URINARY TRACT INFECTIONS WO MCC;KIDNEY & URINARY TRACT INFECTIONS WO MCC
1008;average_medicare_payments;4918.0;?
2121;total_discharges;25;?
770;codice;192;?
1554;provider_city;BATESVILLE;BATESVILLE
1643;average_medicare_payments;4901.0;?
1222;descrizione;OTHER DIGESTIVE SYSTEM DIAGNOSES W CC;OTHER DIGESTIVE SYSTEM DIAGNOSES W CC
739;provider_state;MI;?
2455;provider_state;PA;PA
229;codice;314;?
931;provider_street_address;365 MONTAUK AVE;365 MONTAUK AVE
957;hospital_referral_region_(hrr)_description;NY - Manhattan;NY - Manhattan
2492;provider_street_address;106 BOW STREET;106 BOW STREET
139;provider_name;RIVERSIDE WALTER REED HOSPITAL;RIVERSIDE WALTER REED HOSPITAL
649;provider_street_address;2101 PEASE ST;2101 PEASE ST
1317;provider_id;190060;190060
1897;codice;252;?
1060;codice;247;?
147;average_covered_charges;16156.0;?
624;descrizione;MAJOR SMALL & LARGE BOWEL PROCEDURES W CC;MAJOR SMALL & LARGE BOWEL PROCEDURES W CC
336;average_covered_charges;80542.0;?
376;hospital_referral_region_(hrr)_description;CO - Greeley;CO - Greeley
2226;average_covered_charges;19698.0;?
1845;descrizione;CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC;CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC
1261;descrizione;CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC;CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC
817;provider_city;MANASSAS;MANASSAS
829;average_covered_charges;39527.0;?
2288;provider_city;MACON;MACON
1503;provider_id;390036;390036
118;descrizione;RENAL FAILURE W CC;RENAL FAILURE W CC
1936;average_total_payments;5426.0;?
124;average_total_payments;35700.0;?
1984;average_medicare_payments;9689.0;?
190;average_total_payments;12030.0;?
1451;hospital_referral_region_(hrr)_description;MI - Saginaw;MI - Saginaw
275;average_covered_charges;26060.0;?
2179;average_covered_charges;12614.0;?
2368;total_discharges;31;?
382;average_medicare_payments;6232.0;?
1814;provider_city;AUSTIN;AUSTIN
1510;total_discharges;12;?
804;average_medicare_payments;18070.0;?
2199;provider_id;330353;330353
468;provider_name;LUTHERAN HOSPITAL OF INDIANA;LUTHERAN HOSPITAL OF INDIANA
434;provider_street_address;65 JAMES STREET;65 JAMES STREET
598;provider_state;NM;NM
111;provider_state;CT;CT
1370;provider_state;IN;IN
1914;average_covered_charges;64123.0;?
1078;provider_street_address;W180 N8085 TOWN HALL RD;W180 N8085 TOWN HALL RD
509;hospital_referral_region_(hrr)_description;LA - Metairie;?
2158;provider_state;IN;IN
1510;average_total_payments;16011.0;?
1739;codice;481;?
2302;total_discharges;32;?
777;provider_city;CHICAGO;?
595;codice;491;?
89;provider_id;210005;210005
1159;provider_city;MONROE;?
2312;provider_city;COLORADO SPRING;COLORADO SPRING
702;provider_name;CHRIST HOSPITAL;CHRIST HOSPITAL
1486;provider_state;VA;VA
2236;total_discharges;20;?
2224;average_medicare_payments;3032.0;?
1146;provider_id;10065;?
1309;hospital_referral_region_(hrr)_description;FL - Sarasota;FL - Sarasota
23;codice;372;?
1862;provider_id;10092;10092
1609;average_total_payments;7089.0;?
1888;provider_city;SANDUSKY;SANDUSKY
9;provider_name;ST RITA\S MEDICAL CENTER;ST RITA\S MEDICAL CENTER
6;provider_street_address;9500 EUCLID AVENUE;9500 EUCLID AVENUE
1078;average_covered_charges;60392.0;?
1176;average_total_payments;4708.0;?
65;provider_street_address;1 PARKLAND DRIVE;1 PARKLAND DRIVE
446;average_total_payments;8590.0;?
1517;provider_city;OMAHA;OMAHA
301;total_discharges;44;?
1319;descrizione;CHEST PAIN;CHEST PAIN
477;descrizione;PSYCHOSES;PSYCHOSES
2142;hospital_referral_region_(hrr)_description;IL - Blue Island;IL - Blue Island
76;provider_street_address;5555 WEST LAS POSITAS BOULEVARD;?
69;provider_id;140124;?
2227;average_covered_charges;32911.0;?
1694;total_discharges;27;?
1825;total_discharges;58;?
999;provider_street_address;6420 CLAYTON RD;?
2098;provider_street_address;ST ANTHONY\S WAY;ST ANTHONY\S WAY
235;provider_street_address;HWY 61 SOUTH;?
618;provider_state;TX;TX
1487;provider_state;TX;TX
1722;provider_city;CHICAGO;?
2120;codice;870;?
897;provider_state;MI;MI
1294;total_discharges;33;?
207;average_total_payments;8216.0;?
532;provider_state;IN;IN
531;hospital_referral_region_(hrr)_description;MT - Missoula;?
842;provider_name;ATRIUM MEDICAL CENTER;?
519;provider_state;TX;TX
1771;provider_street_address;800 WASHINGTON STREET;800 WASHINGTON STREET
1386;provider_state;IL;IL
1943;average_medicare_payments;2980.0;?
1603;average_total_payments;7598.0;?
