riga;nome attributo;valore da imputare;valore imputato
23;study_hours_per_day;1.1;?
610;age;22;?
805;gender;Male;?
808;mental_health_rating;8;?
176;exercise_frequency;4;?
795;netflix_hours;2.9;?
471;gender;Female;Female
232;study_hours_per_day;5.5;?
731;netflix_hours;0.0;?
57;study_hours_per_day;6.7;?
783;exercise_frequency;5;?
483;study_hours_per_day;4.8;?
113;gender;Female;Female
420;social_media_hours;3.0;?
555;gender;Male;?
882;netflix_hours;3.0;?
710;parental_education_level;High School;?
335;study_hours_per_day;2.1;?
316;sleep_hours;6.6;?
411;age;22;?
687;attendance_percentage;74.5;?
202;mental_health_rating;10;9
714;study_hours_per_day;5.2;?
246;age;18;?
329;exercise_frequency;2;?
741;gender;Female;?
23;attendance_percentage;90.0;?
856;netflix_hours;1.7;?
576;exam_score;83.7;71.4
696;attendance_percentage;81.6;?
165;age;23;19
715;attendance_percentage;72.9;?
339;study_hours_per_day;2.8;?
345;study_hours_per_day;2.8;?
226;exam_score;98.0;?
334;mental_health_rating;5;?
113;attendance_percentage;80.8;?
138;age;19;?
546;attendance_percentage;74.4;?
879;attendance_percentage;81.1;?
267;social_media_hours;1.7;?
410;netflix_hours;0.3;?
23;gender;Female;Male
342;netflix_hours;3.8;?
107;attendance_percentage;92.3;72.6
439;exam_score;97.7;?
425;mental_health_rating;1;?
873;parental_education_level;Master;?
337;exam_score;94.8;?
245;sleep_hours;5.8;?
633;netflix_hours;1.3;?
459;mental_health_rating;7;?
132;age;20;23
275;social_media_hours;3.1;?
701;sleep_hours;6.2;?
252;sleep_hours;6.7;?
900;attendance_percentage;91.7;?
379;age;22;?
132;study_hours_per_day;3.2;?
421;study_hours_per_day;5.2;?
328;age;18;?
50;exercise_frequency;6;?
559;exercise_frequency;0;?
325;study_hours_per_day;0.7;?
126;sleep_hours;6.7;?
187;netflix_hours;1.0;?
463;attendance_percentage;82.8;?
805;mental_health_rating;8;?
550;attendance_percentage;97.2;?
84;parental_education_level;Master;?
318;parental_education_level;High School;?
286;study_hours_per_day;2.6;?
567;mental_health_rating;8;?
896;age;20;?
419;exam_score;58.9;?
33;age;22;21
632;attendance_percentage;92.1;?
266;parental_education_level;High School;?
646;netflix_hours;1.0;?
406;social_media_hours;1.8;?
785;netflix_hours;1.1;?
821;social_media_hours;1.9;?
333;netflix_hours;0.0;?
262;netflix_hours;3.5;?
52;exercise_frequency;5;?
147;attendance_percentage;73.8;?
287;gender;Male;?
558;exam_score;53.9;?
649;exam_score;66.3;?
681;age;21;?
499;sleep_hours;9.5;?
432;exam_score;33.8;?
365;sleep_hours;6.0;?
288;sleep_hours;7.7;?
600;exercise_frequency;2;?
275;attendance_percentage;88.1;?
567;exercise_frequency;5;?
815;netflix_hours;3.4;?
362;attendance_percentage;67.5;?
545;parental_education_level;High School;?
549;attendance_percentage;100.0;?
853;study_hours_per_day;2.1;?
214;attendance_percentage;77.3;?
617;sleep_hours;6.2;?
463;exam_score;64.6;?
95;netflix_hours;3.4;?
288;age;23;?
51;social_media_hours;2.0;?
742;netflix_hours;2.4;?
878;social_media_hours;2.6;?
38;age;19;?
609;mental_health_rating;3;?
187;attendance_percentage;79.3;?
126;gender;Female;Male
181;netflix_hours;0.0;?
47;age;22;23
545;mental_health_rating;6;?
239;exam_score;71.0;?
740;mental_health_rating;9;?
195;gender;Male;?
119;attendance_percentage;83.0;?
366;sleep_hours;6.2;?
141;attendance_percentage;77.9;?
126;age;17;19
194;parental_education_level;Bachelor;High School
334;study_hours_per_day;3.2;?
340;netflix_hours;0.6;?
630;netflix_hours;2.5;?
510;age;23;?
21;exercise_frequency;1;?
438;netflix_hours;2.2;?
253;mental_health_rating;1;?
154;exam_score;50.1;?
505;social_media_hours;3.6;?
82;attendance_percentage;77.6;?
235;exam_score;93.8;?
882;exercise_frequency;3;?
183;exam_score;61.6;?
243;gender;Male;Female
171;social_media_hours;1.5;?
224;study_hours_per_day;5.3;4.8
732;exam_score;43.9;?
513;age;18;18
505;exam_score;69.9;?
721;age;21;?
96;sleep_hours;4.5;?
430;netflix_hours;1.1;?
29;exam_score;75.7;?
331;netflix_hours;0.0;?
332;age;20;?
73;social_media_hours;2.5;?
97;sleep_hours;7.5;?
873;netflix_hours;2.9;?
890;exercise_frequency;6;?
738;age;20;?
640;mental_health_rating;6;?
362;sleep_hours;6.6;?
546;social_media_hours;3.3;?
780;age;23;24
742;age;20;?
621;attendance_percentage;89.8;?
25;age;22;19
790;netflix_hours;2.7;?
120;parental_education_level;Bachelor;?
293;parental_education_level;High School;?
236;attendance_percentage;78.6;?
578;attendance_percentage;79.7;?
675;parental_education_level;Master;?
69;sleep_hours;4.6;?
633;age;18;?
179;parental_education_level;Bachelor;?
436;study_hours_per_day;2.9;?
26;study_hours_per_day;2.0;3.4
247;exercise_frequency;5;?
807;parental_education_level;Bachelor;?
459;study_hours_per_day;2.6;?
653;gender;Male;?
477;social_media_hours;2.9;?
255;mental_health_rating;4;?
94;gender;Male;Other
654;parental_education_level;Bachelor;?
187;age;20;?
110;study_hours_per_day;3.7;?
586;gender;Male;?
357;parental_education_level;Bachelor;Bachelor
22;social_media_hours;2.3;?
309;mental_health_rating;5;?
272;attendance_percentage;90.1;?
168;exercise_frequency;5;?
692;netflix_hours;0.0;?
1;netflix_hours;1.1;?
482;age;17;?
550;social_media_hours;2.5;?
547;netflix_hours;1.8;?
48;social_media_hours;1.0;?
811;attendance_percentage;86.6;?
253;attendance_percentage;74.7;?
433;gender;Female;Female
441;age;22;?
438;exam_score;84.0;?
125;netflix_hours;0.6;?
321;exercise_frequency;5;?
754;exercise_frequency;5;?
776;parental_education_level;High School;?
68;parental_education_level;Bachelor;?
341;mental_health_rating;5;?
132;netflix_hours;2.0;0.9
18;sleep_hours;7.1;4.9
26;mental_health_rating;4;?
887;gender;Female;?
32;social_media_hours;4.9;0.0
61;parental_education_level;Bachelor;?
409;study_hours_per_day;5.9;?
826;gender;Female;?
511;exercise_frequency;3;?
734;social_media_hours;0.2;?
117;gender;Female;Female
197;mental_health_rating;5;?
609;exercise_frequency;2;?
482;exercise_frequency;2;?
700;gender;Female;?
133;age;24;?
362;study_hours_per_day;2.3;?
646;age;24;?
18;social_media_hours;4.9;?
543;exam_score;95.5;?
62;gender;Male;Male
221;age;24;17
419;sleep_hours;5.7;?
80;study_hours_per_day;2.0;?
618;social_media_hours;2.8;?
4;age;23;20
663;sleep_hours;7.0;?
59;netflix_hours;2.6;?
908;attendance_percentage;100.0;?
27;parental_education_level;Bachelor;Master
615;attendance_percentage;79.9;?
620;sleep_hours;6.9;?
314;netflix_hours;1.8;?
871;parental_education_level;High School;?
719;attendance_percentage;84.5;?
310;netflix_hours;1.6;?
574;parental_education_level;Master;?
518;study_hours_per_day;3.5;?
773;parental_education_level;Bachelor;?
579;exam_score;58.4;?
772;netflix_hours;0.3;?
400;social_media_hours;1.8;?
391;mental_health_rating;8;?
123;social_media_hours;1.5;?
228;parental_education_level;Bachelor;?
677;exam_score;49.8;?
39;parental_education_level;Bachelor;?
758;sleep_hours;5.1;?
822;social_media_hours;0.7;?
241;age;19;?
13;exercise_frequency;4;?
196;mental_health_rating;6;?
880;parental_education_level;Bachelor;?
81;sleep_hours;6.8;?
197;sleep_hours;5.4;?
782;social_media_hours;1.9;?
522;gender;Male;Male
595;mental_health_rating;7;?
611;age;22;?
714;social_media_hours;2.3;?
129;exercise_frequency;6;?
221;mental_health_rating;6;?
268;exam_score;100.0;?
141;study_hours_per_day;1.5;1.7
347;attendance_percentage;86.9;98.6
745;exam_score;35.4;?
213;exam_score;73.1;?
358;gender;Male;Other
212;attendance_percentage;80.0;?
655;mental_health_rating;2;?
199;exam_score;87.0;?
487;sleep_hours;6.7;?
538;social_media_hours;1.9;?
12;exam_score;76.9;64.2
136;study_hours_per_day;5.1;?
77;gender;Male;?
218;attendance_percentage;80.9;69.2
893;age;21;?
75;gender;Female;Male
736;netflix_hours;2.2;?
17;mental_health_rating;1;?
104;sleep_hours;8.3;?
150;netflix_hours;3.0;?
197;exam_score;67.5;?
106;netflix_hours;2.6;?
586;social_media_hours;2.4;?
476;mental_health_rating;1;?
893;exercise_frequency;2;?
411;exercise_frequency;6;?
489;netflix_hours;2.8;?
480;mental_health_rating;9;?
254;study_hours_per_day;2.6;2.9
441;parental_education_level;Master;?
648;social_media_hours;1.4;?
414;age;22;?
475;social_media_hours;2.1;4.0
750;sleep_hours;8.5;?
591;gender;Female;?
499;attendance_percentage;92.5;?
153;sleep_hours;6.9;?
360;parental_education_level;High School;?
372;attendance_percentage;89.3;?
455;sleep_hours;6.7;?
104;attendance_percentage;84.8;?
871;social_media_hours;1.9;?
179;social_media_hours;2.8;?
132;attendance_percentage;88.3;?
423;gender;Female;Female
671;netflix_hours;1.7;?
4;exam_score;26.8;?
592;netflix_hours;0.9;?
273;sleep_hours;6.3;?
594;netflix_hours;0.4;?
708;exercise_frequency;0;?
906;gender;Female;?
135;exercise_frequency;3;?
852;age;20;?
510;netflix_hours;0.0;?
146;netflix_hours;2.0;2.7
261;social_media_hours;4.2;?
429;gender;Female;Male
294;sleep_hours;3.9;?
83;sleep_hours;9.5;?
526;social_media_hours;3.0;?
837;study_hours_per_day;0.1;?
116;exercise_frequency;1;?
666;attendance_percentage;85.5;?
643;exam_score;70.9;?
335;mental_health_rating;4;?
515;parental_education_level;High School;?
175;attendance_percentage;84.9;?
35;parental_education_level;High School;?
167;social_media_hours;1.9;1.2
222;study_hours_per_day;1.9;1.5
644;mental_health_rating;10;?
382;mental_health_rating;9;?
644;exercise_frequency;4;?
268;exercise_frequency;1;?
58;exam_score;61.2;?
350;exercise_frequency;0;?
617;exam_score;77.2;?
369;exam_score;60.4;?
406;study_hours_per_day;2.8;?
55;sleep_hours;7.1;?
346;exam_score;50.3;?
363;social_media_hours;1.5;?
484;mental_health_rating;10;?
679;social_media_hours;4.0;?
