riga;nome attributo;valore da imputare;valore imputato
438;State;Minnesota;Minnesota
4319;Segment;Home Office;Home Office
2958;Sub-Category;Art;Art
3794;Product_Name;Plantronics Calisto P620-M USB Wireless Speakerphone System;?
1005;Sub-Category;Chairs;Chairs
1523;Sub-Category;Machines;?
3313;Product_ID;TEC-MA-10004241;?
2549;Segment;Corporate;Corporate
3168;Customer_ID;AB-10255;AB-10255
2050;Sub-Category;Appliances;Appliances
960;City;Manchester;?
399;City;New York City;?
400;City;Newark;?
2552;Customer_ID;PG-18895;PG-18895
3768;State;Texas;?
4467;State;Pennsylvania;Pennsylvania
3905;State;North Dakota;?
2173;Product_Name;Portable Personal File Box;Portable Personal File Box
4114;Product_ID;OFF-AR-10004269;?
3730;Segment;Consumer;Consumer
3792;Ship_Mode;First Class;?
1485;Sub-Category;Labels;Labels
3180;Region;South;South
3071;Customer_Name;Ken Black;Ken Black
454;Region;West;West
2961;Customer_ID;FH-14275;FH-14275
3044;City;Dallas;?
4231;Product_ID;OFF-BI-10002854;?
1373;Ship_Mode;Standard Class;?
2675;Product_ID;TEC-PH-10001700;?
2351;Segment;Corporate;Corporate
1072;State;Colorado;?
4298;Ship_Mode;Standard Class;?
2836;Product_Name;DIXON Oriole Pencils;DIXON Oriole Pencils
2053;Region;Central;Central
3514;Sales;38.52;?
1147;State;Arkansas;?
2697;Customer_Name;Berenike Kampe;Berenike Kampe
430;Region;West;West
612;Product_Name;Novimex Fabric Task Chair;Novimex Fabric Task Chair
1477;State;California;California
2151;Region;West;West
2318;Sub-Category;Binders;Binders
2112;Customer_Name;Pamela Stobb;Pamela Stobb
4497;Region;Central;Central
2051;Customer_ID;KB-16315;KB-16315
1761;Ship_Mode;Standard Class;?
3445;Segment;Corporate;Corporate
3739;Segment;Consumer;Consumer
4144;Customer_Name;Philisse Overcash;Philisse Overcash
2734;Customer_Name;Deirdre Greer;Deirdre Greer
1893;City;Los Angeles;?
2623;State;Tennessee;?
1478;Sub-Category;Furnishings;Furnishings
2511;City;Lawrence;?
267;Region;Central;Central
2310;Customer_ID;CC-12610;CC-12610
1505;Product_ID;OFF-LA-10001569;?
3254;Region;Central;Central
2673;Ship_Mode;Standard Class;?
1453;Product_Name;Eldon Image Series Desk Accessories Ebony;?
4082;Segment;Corporate;Corporate
743;Sales;438.37;?
1835;Region;West;West
1119;Segment;Consumer;Consumer
4471;Ship_Mode;Second Class;?
82;Product_Name;Xerox 2;Xerox 2
3958;Segment;Consumer;Consumer
1502;Sub-Category;Envelopes;Envelopes
2963;Product_ID;OFF-BI-10003007;?
418;Sub-Category;Binders;Binders
3546;Sales;13.36;?
4411;State;California;?
713;Segment;Consumer;Consumer
1550;Customer_Name;David Kendrick;David Kendrick
2298;Segment;Consumer;Consumer
1244;Customer_Name;Guy Armstrong;Guy Armstrong
2922;Product_Name;Global Wood Trimmed Manager's Task Chair Khaki;?
2141;Product_Name;Padded Folding Chairs Black 4/Carton;?
3737;Ship_Mode;Standard Class;?
3027;Product_Name;Acme Forged Steel Scissors with Black Enamel Handles;?
3676;Sub-Category;Supplies;Supplies
4101;Product_ID;OFF-ST-10001809;?
953;Ship_Mode;Second Class;?
1198;Product_Name;Xerox 2;?
3135;Region;Central;Central
3624;State;Virginia;?
1048;Ship_Mode;First Class;?
2319;Sub-Category;Storage;Storage
1708;Customer_Name;Guy Armstrong;Guy Armstrong
2702;Customer_ID;EH-13945;EH-13945
3494;Region;Central;Central
3441;Sales;1048.35;?
745;Region;South;South
2661;City;Chico;?
1640;Segment;Consumer;Consumer
2306;Customer_Name;Nick Radford;Nick Radford
968;Sales;19.04;?
3802;Product_Name;Global Highback Leather Tilter in Burgundy;?
280;Customer_ID;SE-20110;CK-12205
3397;Sales;43.94;?
1903;Segment;Consumer;Consumer
2038;Segment;Corporate;Corporate
1925;Sub-Category;Storage;Storage
3013;Product_ID;TEC-PH-10000441;?
1106;Product_ID;OFF-BI-10002794;?
2298;Region;Central;Central
4247;Ship_Mode;Standard Class;?
4114;Region;South;South
1024;Sub-Category;Appliances;Appliances
2294;City;Chicago;?
3667;State;Illinois;Illinois
1839;Segment;Consumer;Consumer
3153;City;San Francisco;?
2332;Sales;130.11;?
1638;Sub-Category;Paper;Paper
99;Sales;24.9;?
2975;Product_ID;FUR-FU-10000758;?
333;Product_Name;Hon 61000 Series Interactive Training Tables;?
4280;Sub-Category;Accessories;Accessories
3412;State;New Jersey;?
2369;Region;East;East
2976;Product_Name;Executive Impressions 14 Contract Wall Clock;Executive Impressions 14 Contract Wall Clock
2752;Region;West;West
891;Sub-Category;Tables;?
1165;Customer_Name;John Lee;John Lee
1407;Product_Name;Eldon Expressions Wood Desk Accessories Oak;?
3486;State;California;California
2912;State;New York;?
1034;Segment;Corporate;Corporate
656;Product_ID;OFF-PA-10004255;?
4099;Customer_Name;Dean percer;Dean percer
82;City;Chicago;Chicago
3640;Product_ID;FUR-CH-10000155;?
3906;City;New York City;?
995;Segment;Home Office;Home Office
2985;Sub-Category;Supplies;Supplies
75;Segment;Corporate;Consumer
2908;Sales;42.78;?
2173;Region;East;East
1016;Sub-Category;Storage;Storage
1414;Sales;4.06;?
2960;Product_ID;FUR-CH-10002304;?
3385;Ship_Mode;First Class;?
2713;Sales;1007.23;?
3327;Sub-Category;Chairs;Chairs
3624;Customer_ID;KH-16690;KH-16690
2565;City;Houston;?
3346;Sub-Category;Appliances;Appliances
2884;State;Colorado;Colorado
2907;Customer_Name;Thea Hendricks;Thea Hendricks
3439;Sales;71.09;?
618;Ship_Mode;Standard Class;?
4190;State;North Carolina;?
805;Ship_Mode;Standard Class;?
2531;Product_Name;Fellowes Basic Home/Office Series Surge Protectors;Fellowes Basic Home/Office Series Surge Protectors
4425;Sales;352.38;?
642;Ship_Mode;Standard Class;Standard Class
4332;Sub-Category;Paper;Paper
672;Customer_Name;Raymond Messe;?
3854;Ship_Mode;First Class;?
2527;State;Texas;Texas
2518;City;Arlington;?
2148;Product_ID;OFF-AR-10000246;?
4218;Customer_Name;Gary Hansen;Gary Hansen
50;Sub-Category;Binders;Binders
2750;City;Oakland;?
675;Ship_Mode;Standard Class;?
814;City;Tampa;?
1778;Region;East;East
2012;State;California;California
1162;City;Norwich;?
1496;Sales;13.52;?
2182;Sales;27.55;?
3024;City;Newark;?
4331;Product_Name;GBC Plastic Binding Combs;GBC Plastic Binding Combs
1245;Customer_ID;MD-17350;MD-17350
2523;Ship_Mode;First Class;?
3050;City;Pasadena;?
2241;Ship_Mode;Standard Class;?
2672;Customer_Name;Patrick Jones;Patrick Jones
104;Sub-Category;Binders;?
2345;Customer_ID;AI-10855;AI-10855
4444;State;Tennessee;?
1791;Product_Name;Angle-D Binders with Locking Rings Label Holders;?
558;City;San Diego;San Diego
1975;Segment;Home Office;Home Office
4439;Sales;8.72;?
3177;Customer_ID;KB-16585;KB-16585
18;Sub-Category;Paper;Paper
3857;Region;West;West
4373;Customer_ID;KN-16390;KN-16390
1552;Segment;Consumer;Consumer
290;Customer_Name;Christy Brittain;Christy Brittain
2674;Product_Name;Xerox 1966;Xerox 1966
1931;Customer_Name;Stewart Visinsky;Stewart Visinsky
2002;Customer_ID;SM-20320;SM-20320
876;Sales;1441.3;?
68;State;Florida;?
4421;Customer_ID;JK-15205;JK-15205
1595;Segment;Home Office;?
1586;Sales;42.8;?
1352;Customer_Name;Trudy Schmidt;Trudy Schmidt
1098;Customer_ID;MZ-17515;MZ-17515
413;Product_Name;Eldon Gobal File Keepers;Eldon Gobal File Keepers
2081;Ship_Mode;Standard Class;?
7;Segment;Consumer;Consumer
665;Customer_Name;Ruben Dartt;Ruben Dartt
2922;Product_ID;FUR-CH-10003774;?
3630;City;Vancouver;?
1235;Sales;32.97;?
1992;Product_Name;Crayola Anti Dust Chalk 12/Pack;?
1103;Segment;Corporate;Corporate
186;City;New York City;?
174;State;Pennsylvania;Pennsylvania
1713;Segment;Consumer;Consumer
128;Segment;Home Office;Home Office
631;Customer_Name;Stewart Carmichael;Stewart Carmichael
901;Segment;Consumer;Consumer
3524;Customer_Name;Maureen Gnade;?
385;City;Durham;?
1933;Product_ID;FUR-FU-10004622;?
3424;Region;West;West
2088;Segment;Consumer;Consumer
1568;City;Fort Lauderdale;?
3189;City;Broken Arrow;?
3284;Product_Name;Jabra SPEAK 410;?
4332;Sales;17.94;?
361;Product_Name;4009 Highlighters by Sanford;?
391;Product_ID;TEC-PH-10004531;?
4110;Customer_Name;Ed Jacobs;?
2128;Product_Name;Tenex File Box Personal Filing Tote with Lid Black;?
3003;City;Los Angeles;?
219;Region;South;South
691;Segment;Consumer;?
528;Sub-Category;Art;Art
3364;Sub-Category;Paper;?
2763;Region;Central;Central
3311;Region;Central;Central
2725;City;San Francisco;?
112;Region;Central;Central
830;Sales;9.65;?
2356;Sub-Category;Accessories;?
1965;Region;East;East
1822;Sub-Category;Phones;Phones
2040;Ship_Mode;Standard Class;?
2913;Customer_ID;MS-17530;MS-17530
1731;Ship_Mode;Second Class;?
4040;State;Illinois;?
1324;Product_ID;FUR-FU-10001889;?
2103;Segment;Corporate;Corporate
2730;Customer_Name;Brad Thomas;Brad Thomas
2174;Customer_Name;Eric Hoffmann;Eric Hoffmann
3617;Product_ID;TEC-AC-10004510;?
2669;Customer_ID;NR-18550;NR-18550
3078;Ship_Mode;Standard Class;?
1398;Ship_Mode;Second Class;?
3750;Customer_Name;Ken Lonsdale;Ken Lonsdale
2938;Ship_Mode;Standard Class;?
504;Customer_Name;Nancy Lomonaco;Nancy Lomonaco
675;State;Virginia;?
3095;Sub-Category;Accessories;Accessories
3391;Product_ID;FUR-CH-10001190;?
2864;Sales;213.08;?
3334;Sales;62.18;?
322;Ship_Mode;Standard Class;?
1815;Product_Name;Eldon Image Series Black Desk Accessories;?
3380;Product_Name;Xerox 21;Xerox 21
2080;Customer_ID;TS-21340;TS-21340
192;Sales;141.42;?
510;Sub-Category;Envelopes;Envelopes
4039;City;Warner Robins;?
4297;Product_Name;Ibico Plastic Spiral Binding Combs;Ibico Plastic Spiral Binding Combs
414;Segment;Consumer;Consumer
4171;Customer_ID;AR-10510;AR-10510
258;Customer_ID;ML-17395;ML-17395
3422;Region;West;West
44;Product_Name;Bose SoundLink Bluetooth Speaker;Bose SoundLink Bluetooth Speaker
2409;Ship_Mode;Standard Class;?
1053;Sub-Category;Furnishings;Furnishings
3540;Product_ID;TEC-AC-10004469;?
4093;Ship_Mode;Standard Class;?
1717;State;New York;New York
2833;State;New York;?
4332;Customer_ID;EB-13930;?
98;Region;East;East
2280;Ship_Mode;Second Class;?
2235;Segment;Consumer;Consumer
2880;Ship_Mode;Standard Class;?
1062;State;Louisiana;?
164;Ship_Mode;First Class;?
651;Ship_Mode;First Class;?
1177;Ship_Mode;Standard Class;?
1635;Ship_Mode;Standard Class;?
3572;Region;West;West
4107;Segment;Consumer;?
457;Product_Name;File Shuttle II and Handi-File Black;File Shuttle II and Handi-File Black
1447;Sub-Category;Binders;Binders
3718;Customer_Name;Dorothy Badders;Dorothy Badders
142;City;Houston;?
2803;Region;Central;Central
790;Ship_Mode;Standard Class;?
372;Product_Name;Avery Heavy-Duty EZD  Binder With Locking Rings;?
836;Product_ID;OFF-AR-10001953;?
2501;Product_Name;Avery 517;Avery 517
1294;Segment;Consumer;Consumer
2303;Customer_ID;GK-14620;GK-14620
1270;State;California;California
3296;Customer_ID;KE-16420;KE-16420
4192;Sub-Category;Binders;Binders
3843;City;Marion;?
2940;State;Pennsylvania;Pennsylvania
1284;Region;East;East
3228;Ship_Mode;Second Class;?
1197;Product_Name;Fellowes Officeware Wire Shelving;?
2864;State;Delaware;?
998;City;Los Angeles;?
