riga;nome attributo;valore da imputare;valore imputato
1063;City;Seattle;?
3967;Model_Year;2008;?
2692;Model;MODEL Y;?
3552;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
304;Electric_Vehicle_Type;Plug-in Hybrid Electric Vehicle (PHEV);?
2380;City;Seattle;?
1657;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
836;State;WA;WA
3492;County;Snohomish;?
3855;County;King;?
2177;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
35;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
2381;State;WA;WA
795;State;WA;WA
1589;Model;EV6;?
3444;State;WA;WA
807;County;Thurston;?
3359;Model_Year;2023;?
3932;Electric_Range;0;?
1146;Model;PACIFICA;?
686;Legislative_District;3.0;?
3274;State;WA;WA
2044;Legislative_District;29.0;?
276;Legislative_District;41.0;?
1502;Legislative_District;22.0;?
364;Model_Year;2023;?
1080;Legislative_District;11.0;?
1807;Model;FUSION;?
1501;Legislative_District;46.0;?
692;Model;MODEL 3;?
877;Model_Year;2013;?
16;Make;TESLA;?
2499;County;Whatcom;?
1653;Model_Year;2021;?
744;Model;ID.4;?
444;County;Kittitas;?
649;Legislative_District;27.0;?
1811;Make;TESLA;?
2140;Model;LEAF;?
192;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Not eligible due to low battery range;?
294;Electric_Vehicle_Type;Plug-in Hybrid Electric Vehicle (PHEV);?
299;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
3530;Model;NIRO;?
2581;Electric_Vehicle_Type;Plug-in Hybrid Electric Vehicle (PHEV);?
1059;Electric_Range;0;?
902;County;Snohomish;?
2765;City;Renton;?
1408;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
527;Model;MODEL Y;?
3568;Electric_Range;18;?
3428;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
3877;Model_Year;2023;?
219;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
2778;Legislative_District;24.0;?
2760;State;WA;WA
1731;Electric_Range;238;?
3883;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
184;Model;MODEL 3;?
1042;City;Redmond;?
2912;Model;PACIFICA;?
2284;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
1142;Electric_Range;0;?
3339;County;Whatcom;?
3999;State;WA;WA
3526;Make;TESLA;?
2284;Legislative_District;36.0;?
1517;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
634;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
3895;Make;KIA;?
2913;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
2562;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
3192;Make;VOLKSWAGEN;?
3019;State;WA;WA
3326;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
3383;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
3589;Model_Year;2022;?
1328;City;Lynnwood;?
3802;Model_Year;2016;?
3562;State;WA;WA
2047;Model_Year;2018;?
1728;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Clean Alternative Fuel Vehicle Eligible;?
2201;City;Bothell;?
322;Model_Year;2023;?
3179;Model;MODEL S;?
2967;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
97;Make;TESLA;?
934;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
1855;Electric_Range;0;?
2849;Model;MODEL Y;?
3842;Electric_Range;215;?
3226;State;WA;WA
1775;City;Seattle;?
2048;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
729;State;WA;WA
52;Make;TESLA;?
453;Model_Year;2022;?
1030;County;Snohomish;?
1378;State;WA;WA
3070;Electric_Range;208;?
2995;City;Silverdale;?
1012;Make;TESLA;?
1114;Make;TESLA;?
1197;Electric_Range;200;?
962;Legislative_District;25.0;?
1279;Make;TESLA;?
647;Model;FUSION;?
1938;Legislative_District;29.0;?
1874;Make;FORD;?
3696;Model_Year;2023;?
399;Model;TRANSIT;?
475;Model_Year;2022;?
2809;Model_Year;2016;?
459;Legislative_District;41.0;?
3781;Electric_Range;0;?
1281;Legislative_District;48.0;?
1755;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
243;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
1134;Model;X5;?
2787;Model;FUSION;?
3516;Electric_Range;73;?
2420;City;Seattle;?
1740;Model;PRIUS PRIME;?
2696;Make;KIA;?
299;Model_Year;2014;?
466;County;Spokane;?
1884;Model;NIRO;?
1666;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Eligibility unknown as battery range has not been researched;?
1366;City;Sammamish;?
1077;State;WA;WA
2748;Model;MODEL 3;?
3412;Make;TESLA;?
962;Make;TESLA;?
3917;City;Ravensdale;?
1655;City;Lynnwood;?
862;Electric_Vehicle_Type;Battery Electric Vehicle (BEV);?
937;Clean_Alternative_Fuel_Vehicle_(CAFV)_Eligibility;Not eligible due to low battery range;?
3573;Electric_Range;0;?
2893;Electric_Range;0;?
3471;Make;TESLA;?
696;State;WA;WA
1924;City;Olympia;?
2863;County;King;?
3785;Model_Year;2018;?
1655;State;WA;WA
2427;Legislative_District;47.0;?
