riga;nome attributo;valore da imputare;valore imputato
1140;provider_city;BANGOR;BANGOR
72;provider_street_address;820 CLARKSVILLE ST;?
562;provider_city;SALEM;?
151;average_medicare_payments;5811.0;?
293;provider_street_address;1701 LACEY ST;1701 LACEY ST
1364;provider_state;IL;?
930;descrizione;FRACTURES OF HIP & PELVIS WO MCC;FRACTURES OF HIP & PELVIS WO MCC
1695;provider_id;50334;50334
1072;provider_state;TX;TX
348;total_discharges;37;?
292;average_covered_charges;32245.0;?
2126;average_covered_charges;17483.0;?
1431;provider_street_address;300 SECOND AVENUE;300 SECOND AVENUE
2341;provider_name;CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES;?
1544;average_medicare_payments;4932.0;?
1161;provider_name;PARKVIEW REGIONAL MEDICAL CENTER;PARKVIEW REGIONAL MEDICAL CENTER
1154;provider_street_address;1814 ROSELAND BOULEVARD;?
974;provider_state;CA;CA
2374;provider_state;FL;FL
508;provider_id;50573;?
195;provider_id;190002;190002
902;descrizione;MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC;MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC
41;average_total_payments;4526.0;?
342;average_medicare_payments;4722.0;?
935;total_discharges;19;?
1272;average_medicare_payments;9742.0;?
2019;provider_street_address;2000 OGDEN AVENUE;2000 OGDEN AVENUE
817;provider_id;490045;490045
2336;average_total_payments;5331.0;?
1457;provider_city;SYRACUSE;SYRACUSE
2197;hospital_referral_region_(hrr)_description;ME - Portland;ME - Portland
824;descrizione;G--I-- HEMORRHAGE W MCC;G--I-- HEMORRHAGE W MCC
450;average_medicare_payments;20172.0;?
2400;descrizione;CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC;CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC
104;hospital_referral_region_(hrr)_description;ME - Portland;?
1852;total_discharges;28;?
838;average_covered_charges;56285.0;?
701;provider_state;PA;PA
1212;provider_street_address;820 CLARKSVILLE ST;?
241;provider_id;500051;?
214;hospital_referral_region_(hrr)_description;MA - Boston;MA - Boston
2220;average_medicare_payments;11434.0;?
243;provider_street_address;3601 W THIRTEEN MILE RD;3601 W THIRTEEN MILE RD
945;provider_id;250044;?
1432;average_medicare_payments;51732.0;?
1124;provider_city;DETROIT;DETROIT
1464;provider_name;GRANVILLE MEDICAL CENTER;GRANVILLE MEDICAL CENTER
1450;provider_state;OH;?
803;provider_name;ALHAMBRA HOSPITAL MEDICAL CENTER;?
2390;provider_name;LEONARD J CHABERT MEDICAL CENTER;LEONARD J CHABERT MEDICAL CENTER
252;total_discharges;17;?
2212;average_medicare_payments;4386.0;?
180;average_total_payments;4365.0;?
152;codice;690;?
1970;total_discharges;38;?
1398;codice;64;?
279;provider_state;CO;CO
1593;provider_street_address;168 S HOWELL STREET;168 S HOWELL STREET
3;codice;310;?
1593;total_discharges;20;?
2352;codice;191;?
2460;total_discharges;17;?
1111;provider_name;ST DAVID\S SOUTH AUSTIN MEDICAL CENTER;ST DAVID\S SOUTH AUSTIN MEDICAL CENTER
1690;provider_state;WA;?
1483;average_medicare_payments;7215.0;?
1698;average_covered_charges;21479.0;?
2362;provider_street_address;60 MEMORIAL MEDICAL PKWY;60 MEMORIAL MEDICAL PKWY
1566;provider_name;MEDWEST HAYWOOD;MEDWEST HAYWOOD
304;provider_state;CA;?
799;provider_name;INOVA FAIR OAKS HOSPITAL;INOVA FAIR OAKS HOSPITAL
538;provider_id;450236;?
1972;total_discharges;14;?
2405;provider_state;WI;?
2224;provider_state;IL;IL
1805;descrizione;TRANSIENT ISCHEMIA;TRANSIENT ISCHEMIA
131;average_covered_charges;29659.0;?
2306;average_total_payments;5626.0;?
2169;average_medicare_payments;7150.0;?
2211;hospital_referral_region_(hrr)_description;PA - Scranton;PA - Scranton
2118;average_total_payments;8935.0;?
1201;total_discharges;76;?
2270;average_medicare_payments;10669.0;?
1238;average_medicare_payments;8860.0;?
2244;provider_city;THOUSAND OAKS;THOUSAND OAKS
2473;provider_street_address;1214 COOLIDGE AVENUE;1214 COOLIDGE AVENUE
1424;provider_id;340073;340073
1891;provider_id;100256;100256
1205;average_total_payments;16602.0;?
221;average_covered_charges;34857.0;?
2405;descrizione;PULMONARY EMBOLISM WO MCC;PULMONARY EMBOLISM WO MCC
1603;hospital_referral_region_(hrr)_description;MT - Billings;MT - Billings
2202;codice;64;?
993;codice;195;?
1095;total_discharges;63;?
1026;average_covered_charges;33011.0;?
1390;provider_name;MOUNT CARMEL ST ANN\S HOSPITAL;MOUNT CARMEL ST ANN\S HOSPITAL
513;provider_id;300023;300023
1370;provider_street_address;8111 S EMERSON AVE;?
2458;average_covered_charges;35616.0;?
122;average_total_payments;6796.0;?
1915;hospital_referral_region_(hrr)_description;IL - Blue Island;IL - Blue Island
122;provider_city;BERKELEY;?
737;descrizione;SIMPLE PNEUMONIA & PLEURISY W CC;SIMPLE PNEUMONIA & PLEURISY W CC
143;provider_city;MERCED;MERCED
1206;provider_state;CO;?
651;average_medicare_payments;8102.0;?
2052;provider_name;TRMC OF ORANGEBURG & CALHOUN;TRMC OF ORANGEBURG & CALHOUN
417;descrizione;KIDNEY & URINARY TRACT INFECTIONS WO MCC;KIDNEY & URINARY TRACT INFECTIONS WO MCC
590;average_medicare_payments;5081.0;?
301;provider_id;230244;?
2328;provider_state;OH;OH
567;provider_state;FL;FL
364;descrizione;RENAL FAILURE W CC;RENAL FAILURE W CC
387;provider_id;140290;140290
808;codice;208;?
1037;average_total_payments;5786.0;?
1004;descrizione;SEPTICEMIA OR SEVERE SEPSIS WO MV 96+ HOURS W MCC;SEPTICEMIA OR SEVERE SEPSIS WO MV 96+ HOURS W MCC
535;provider_street_address;222 MEDICAL CIRCLE;222 MEDICAL CIRCLE
6;codice;309;?
608;descrizione;INFECTIOUS & PARASITIC DISEASES W O--R-- PROCEDURE W MCC;INFECTIOUS & PARASITIC DISEASES W O--R-- PROCEDURE W MCC
12;provider_street_address;19829 NORTH 27TH AVENUE;?
2157;total_discharges;106;?
622;descrizione;CERVICAL SPINAL FUSION WO CCMCC;CERVICAL SPINAL FUSION WO CCMCC
383;codice;602;?
2201;provider_state;FL;FL
63;average_medicare_payments;5538.0;?
920;average_medicare_payments;5772.0;?
1782;codice;305;?
1556;total_discharges;83;?
2077;total_discharges;25;?
104;codice;390;?
497;provider_street_address;506 LENOX AVENUE;506 LENOX AVENUE
322;average_medicare_payments;7358.0;?
1492;hospital_referral_region_(hrr)_description;PA - Scranton;?
1591;provider_name;ST LUKES MAGIC VALLEY RMC;ST LUKES MAGIC VALLEY RMC
1229;average_covered_charges;31902.0;?
1167;provider_state;FL;FL
1460;provider_name;BAYLOR MEDICAL CENTER AT IRVING;BAYLOR MEDICAL CENTER AT IRVING
653;hospital_referral_region_(hrr)_description;PA - Allentown;?
239;provider_name;JFK MEDICAL CENTER;?
1845;provider_city;FAIRFIELD;FAIRFIELD
1794;total_discharges;126;?
2430;average_total_payments;4803.0;?
2124;codice;329;?
432;average_covered_charges;10959.0;?
826;provider_name;DANBURY HOSPITAL;DANBURY HOSPITAL
505;provider_city;BROOKLYN;BROOKLYN
1343;provider_name;PETERSON REGIONAL MEDICAL CENTER;PETERSON REGIONAL MEDICAL CENTER
1204;descrizione;G--I-- HEMORRHAGE WO CCMCC;G--I-- HEMORRHAGE WO CCMCC
1234;average_covered_charges;38978.0;?
1813;hospital_referral_region_(hrr)_description;PA - Philadelphia;PA - Philadelphia
1756;average_total_payments;4197.0;?
2170;descrizione;DEGENERATIVE NERVOUS SYSTEM DISORDERS WO MCC;DEGENERATIVE NERVOUS SYSTEM DISORDERS WO MCC
2376;hospital_referral_region_(hrr)_description;MO - Columbia;?
1259;codice;202;?
787;average_medicare_payments;8276.0;?
857;provider_state;FL;FL
735;provider_name;INTERMOUNTAIN MEDICAL CENTER;INTERMOUNTAIN MEDICAL CENTER
1849;codice;377;?
2225;provider_street_address;5352 LINTON BLVD;5352 LINTON BLVD
1141;provider_street_address;1425 PORTLAND AVENUE;1425 PORTLAND AVENUE
1843;average_medicare_payments;11051.0;?
1660;descrizione;PERMANENT CARDIAC PACEMAKER IMPLANT WO CCMCC;PERMANENT CARDIAC PACEMAKER IMPLANT WO CCMCC
489;average_total_payments;36699.0;?
188;codice;313;?
2173;average_total_payments;4177.0;?
1599;provider_street_address;2160 S 1ST AVENUE;2160 S 1ST AVENUE
1017;average_total_payments;5491.0;?
2320;provider_state;MN;MN
1339;provider_city;FALMOUTH;FALMOUTH
1059;total_discharges;34;?
2023;average_total_payments;4822.0;?
475;provider_city;INDIANAPOLIS;INDIANAPOLIS
1132;codice;293;?
63;provider_state;FL;FL
149;provider_id;440067;?
1553;provider_street_address;701 N FIRST ST;701 N FIRST ST
