riga;nome attributo;valore da imputare;valore imputato
5080;Weight;69.0;?
3477;Sex;M;M
2795;Weight;80.0;?
6241;Team;United States;?
5665;Height;171.0;?
6270;Sport;Boxing;?
1666;NOC;USA;?
105;Games;2012 Summer;2004 Summer
2272;Age;30.0;30.0
2176;Sport;Tennis;?
4311;Age;22.0;?
6742;Sport;Athletics;?
4761;Sport;Swimming;?
527;Season;Summer;Summer
7148;Games;1988 Winter;2006 Winter
3305;NOC;ALG;?
4743;Height;182.0;?
4798;Games;2016 Summer;2004 Summer
5275;Age;25.0;?
7347;Year;1984;?
1707;Season;Summer;Summer
5505;Sport;Athletics;?
2793;Name;Matteo Baldacci;?
1080;NOC;GER;GER
1165;Sex;F;?
3073;Sex;M;M
6281;Sex;M;?
4045;Team;Netherlands;?
1874;City;Tokyo;Tokyo
3153;Weight;48.0;48.0
5907;Team;Hungary;Hungary
5043;Name;Esbela Fernanda Rosa da Fonseca;?
7343;Season;Summer;?
2907;City;Montreal;Montreal
4087;Weight;88.0;?
5795;Sex;M;?
7137;Year;1976;?
5741;Age;21.0;?
6486;Sex;M;?
5744;Weight;74.0;?
2801;Season;Summer;?
6870;City;Rio de Janeiro;Rio de Janeiro
6426;Name;Marvin Julian Campbell;?
3894;Team;France;France
4225;Name;Jrgen Fanghnel;?
5555;Weight;78.0;?
1953;Team;Great Britain;?
5516;Team;Czechoslovakia;Czechoslovakia
2874;Year;1968;?
6202;Name;Vladimir Aleksandrov;?
3880;NOC;GBR;?
1377;Sex;M;?
6797;Sex;F;?
3557;Team;Greece;Greece
6887;Season;Summer;?
5515;City;Torino;Torino
3651;Sport;Fencing;?
1655;Age;23.0;?
5048;Team;Spain;?
2700;Weight;64.0;64.0
3392;Games;1984 Summer;2004 Summer
3503;Games;1992 Summer;2004 Summer
5081;Season;Summer;?
6371;City;Los Angeles;Los Angeles
3890;Games;1976 Summer;2004 Summer
2363;NOC;SWE;SWE
4730;Height;177.0;?
5415;Name;Wanda dos Santos;?
2536;Team;Bermuda;?
2877;City;Beijing;Beijing
6165;Weight;70.0;?
1864;Season;Summer;Summer
6521;Height;180.0;?
4796;Year;2008;?
6148;NOC;NED;NED
3815;Sport;Swimming;Swimming
234;Weight;76.0;?
394;NOC;CAN;?
448;Year;1996;?
6850;Age;34.0;?
5790;Sex;M;?
4407;Sex;M;?
2181;Year;2000;?
2947;Year;2008;?
1963;Sport;Swimming;?
4077;Year;1972;?
581;Season;Summer;Summer
5557;Height;170.0;?
5332;Sex;M;?
6634;Games;2004 Summer;2004 Summer
4652;NOC;BLR;BLR
6008;Sex;F;?
1783;Games;1996 Summer;2004 Summer
3499;Weight;64.0;64.0
4213;City;Innsbruck;Innsbruck
1921;NOC;TCH;?
5800;Season;Summer;?
106;Year;1960;?
871;Name;Juan Bueno Castellanos;?
863;Team;New Zealand;New Zealand
6641;Sex;M;?
933;Weight;68.0;?
206;Year;1964;?
5504;Season;Summer;?
4726;Sport;Basketball;?
1220;Season;Summer;Summer
3806;Sex;M;?
1589;Height;164.0;?
6505;NOC;USA;?
2943;Height;178.0;?
3838;Season;Summer;?
7460;Age;28.0;?
5396;Sex;M;M
2059;Name;Eyawomano Doreen Amata;?
937;Games;1988 Summer;2004 Summer
1468;Weight;69.0;?
1418;City;Beijing;Beijing
172;Name;Lenka Bartkov;?
1970;Team;Denmark;?
2972;Year;2000;?
3373;Height;173.0;?
2774;Age;22.0;?
5353;Age;21.0;?
5958;Games;1984 Summer;2004 Summer
3873;Season;Winter;Winter
6948;Games;2006 Winter;2006 Winter
5183;Age;30.0;30.0
6205;City;Sapporo;Sapporo
5747;Sport;Swimming;?
5561;Team;Jamaica;?
4136;Height;193.0;?
1227;NOC;HUN;?
682;Name;Mnika Csszr;?
4393;Year;1984;?
1721;Season;Summer;Summer
1368;NOC;NED;NED
5633;Team;France;France
5646;Age;24.0;?
1893;Height;172.0;?
2815;Team;Soviet Union;?
3091;City;Moskva;Moskva
2100;Weight;108.0;108.0
6864;Age;33.0;?
7214;Weight;83.0;?
7390;Weight;58.0;58.0
685;Name;Yuko Arakida;?
205;City;Montreal;Montreal
1240;Games;1980 Summer;2004 Summer
5202;Weight;78.0;?
204;City;Seoul;Seoul
1461;Weight;74.0;?
5496;Name;Pierre Boisson;?
2799;Weight;88.0;81.0
1389;Age;18.0;?
3211;Name;Ian Gordon Ferguson;?
2704;Season;Summer;?
176;Season;Summer;Summer
883;Season;Summer;Summer
5699;Games;2004 Summer;2004 Summer
3466;Sport;Cycling;?
5800;Games;1984 Summer;1984 Summer
5296;City;Tokyo;Tokyo
5403;Games;1996 Summer;2004 Summer
1022;Sport;Canoeing;?
436;Name;Martina Chrapnov;?
5600;Season;Summer;?
6314;Games;1968 Summer;2004 Summer
5949;Season;Summer;?
2753;Sport;Ice Hockey;?
4179;Team;Soviet Union;?
3306;Games;1996 Summer;2004 Summer
2186;Team;Cuba;Cuba
1301;NOC;POL;?
1892;Season;Summer;Summer
41;Name;Abigail Susan E. Edmonds;?
6077;Games;1952 Summer;2004 Summer
1613;NOC;MGL;?
6147;Height;169.0;?
3383;Team;East Germany;?
266;Sex;F;M
1659;Sport;Trampolining;?
4409;NOC;FRA;?
3067;Year;2008;?
2050;Games;2000 Summer;2004 Summer
5400;NOC;USA;?
2497;Sex;F;?
4333;Sport;Equestrianism;?
667;Weight;55.0;?
5979;City;Albertville;Albertville
1776;Sport;Gymnastics;Gymnastics
4517;Name;Jan Blomme;?
5402;Sex;M;M
564;Name;Tobias Angerer;?
3085;Year;1988;?
2700;Games;1968 Summer;2004 Summer
815;Age;20.0;?
3507;Team;Czechoslovakia;?
1855;Height;184.0;?
3442;Height;170.0;?
865;Name;Donat Acklin;?
1500;Age;29.0;?
2463;Sport;Ice Hockey;?
5656;Age;28.0;?
2494;Year;1964;?
2182;Sex;M;?
5997;Games;2000 Summer;2004 Summer
786;Team;Bolivia;?
3559;Weight;73.0;?
3353;Weight;80.0;80.0
1454;City;Sydney;Sydney
6299;Year;2016;?
4691;City;Torino;?
5008;Year;2004;?
859;Height;160.0;?
6388;NOC;ITA;?
6501;Season;Summer;?
4632;City;Los Angeles;Los Angeles
4646;Weight;82.0;?
3006;NOC;ESP;?
3634;Name;Dagoberto Borges Mosceda;?
4968;Weight;65.0;?
6387;Sport;Shooting;?
3117;Height;172.0;?
7014;Height;175.0;?
77;NOC;MAR;?
6621;Year;1972;?
5821;NOC;FRG;?
3525;Age;32.0;?
1256;City;Montreal;Montreal
86;NOC;SUI;?
5739;Season;Summer;?
3602;Sport;Biathlon;?
393;Age;19.0;?
6694;Team;Canada;Canada
7292;Team;Kyrgyzstan;?
7031;Year;1988;?
341;Games;1988 Summer;2004 Summer
4941;Sport;Athletics;?
4399;City;Torino;Torino
3584;Sex;M;M
7274;Sex;F;?
6922;Sex;M;M
2419;Name;Isaac Azcuy Oliva;?
