riga;nome attributo;valore da imputare;valore imputato
686;sleep_hours;6.2;?
870;attendance_percentage;95.1;?
627;netflix_hours;1.4;?
21;netflix_hours;2.4;?
451;age;22;?
763;social_media_hours;2.0;?
166;exercise_frequency;1;?
218;parental_education_level;High School;?
345;age;17;?
333;attendance_percentage;92.6;60.6
86;netflix_hours;0.0;?
623;mental_health_rating;6;4
316;exam_score;81.7;?
22;mental_health_rating;7;?
2;gender;Female;?
296;sleep_hours;5.3;?
240;age;24;?
76;exercise_frequency;3;?
797;attendance_percentage;76.6;?
450;sleep_hours;8.1;?
663;age;17;18
340;study_hours_per_day;1.8;?
257;exam_score;61.5;?
837;exercise_frequency;5;?
386;gender;Female;?
666;gender;Male;?
518;netflix_hours;0.0;0.9
855;mental_health_rating;3;?
462;parental_education_level;Bachelor;?
713;parental_education_level;Bachelor;Master
655;sleep_hours;6.9;?
79;sleep_hours;6.3;?
312;attendance_percentage;70.3;?
774;age;19;?
266;sleep_hours;7.1;?
300;exercise_frequency;1;?
731;gender;Female;?
440;parental_education_level;Bachelor;?
728;study_hours_per_day;4.3;?
306;exam_score;72.3;?
629;parental_education_level;Master;?
809;exercise_frequency;5;?
361;sleep_hours;8.2;?
410;exercise_frequency;6;?
178;attendance_percentage;89.4;?
294;sleep_hours;3.9;?
565;gender;Female;?
683;gender;Male;?
296;study_hours_per_day;6.1;?
422;exercise_frequency;6;?
227;age;22;17
894;study_hours_per_day;3.2;?
336;parental_education_level;High School;?
196;netflix_hours;3.8;?
456;attendance_percentage;78.9;?
873;social_media_hours;3.1;?
33;parental_education_level;High School;?
691;mental_health_rating;4;?
292;gender;Male;?
538;age;21;?
505;sleep_hours;7.3;?
352;study_hours_per_day;6.0;?
417;attendance_percentage;86.6;?
227;parental_education_level;Bachelor;?
93;mental_health_rating;6;?
563;attendance_percentage;70.5;?
413;study_hours_per_day;1.2;?
515;mental_health_rating;7;?
476;sleep_hours;6.6;?
489;sleep_hours;4.3;?
908;social_media_hours;4.1;?
323;parental_education_level;High School;?
545;social_media_hours;3.2;?
291;gender;Female;?
276;exercise_frequency;3;?
438;mental_health_rating;8;6
23;exercise_frequency;6;?
53;exercise_frequency;2;?
189;exam_score;92.6;?
153;gender;Male;?
879;age;19;?
570;sleep_hours;8.3;?
83;mental_health_rating;6;?
31;social_media_hours;3.1;?
891;social_media_hours;0.0;?
464;gender;Male;?
237;attendance_percentage;84.6;?
347;gender;Female;?
674;attendance_percentage;75.5;65.4
297;mental_health_rating;10;?
405;attendance_percentage;79.4;?
246;study_hours_per_day;0.6;?
