riga;nome attributo;valore da imputare;valore imputato
2539;candidate_last_name;STEVENS;?
771;candidate_last_name;REAGAN;REAGAN
861;year;1984;?
469;party_detailed;WORKERS WORLD;?
2061;state;NEVADA;?
274;state;VERMONT;UTAH
717;party_detailed;LIBERTARIAN;?
2856;candidate_first_name;GARY;GARY
583;party_detailed;LIBERTARIAN;?
2682;state;NORTH CAROLINA;NORTH CAROLINA
166;candidate_last_name;CAMEJO;?
3681;state;TENNESSEE;?
3451;state_fips;15;15
1614;candidate_last_name;HARRIS;HARRIS
2694;totalvotes;5708350;?
416;state_fips;20;20
3408;party_detailed;NON-AFFILIATED;?
686;totalvotes;1466900;?
3078;party_detailed;UNAFFILIATED;?
3284;party_simplified;REPUBLICAN;REPUBLICAN
2443;candidatevotes;121180;?
3516;year;2020;?
608;candidate_first_name;RONALD;RONALD
653;state_po;AL;AL
646;state_po;WY;WY
1509;state;VERMONT;?
2142;candidate_last_name;BROWNE;BROWNE
937;candidate_first_name;MELVIN;MELVIN
1804;year;1996;?
1206;year;1992;?
719;candidate_last_name;JOHNSON;?
109;state;MAINE;?
3103;totalvotes;312575;312575
3350;party_simplified;OTHER;OTHER
1822;state;TEXAS;?
869;totalvotes;4844903;4844903
1713;candidate_last_name;HAGELIN;?
3300;state_po;VA;VA
941;candidate_last_name;BERGLAND;BERGLAND
340;state_po;CO;CO
2217;totalvotes;2129630;?
2642;state;NEBRASKA;NEBRASKA
1236;party_detailed;REPUBLICAN;?
990;candidate_last_name;PAUL;?
2166;candidate_last_name;PHILLIPS;?
950;candidatevotes;53370;?
1502;totalvotes;743998;?
1792;year;1996;?
3533;state_fips;24;?
3280;party_simplified;LIBERTARIAN;LIBERTARIAN
3577;state;MISSOURI;MISSOURI
1064;party_simplified;OTHER;LIBERTARIAN
331;candidate_first_name;BENJAMIN BEN;BENJAMIN BEN
76;candidate_last_name;ANDERSON;?
1398;party_simplified;REPUBLICAN;REPUBLICAN
1307;totalvotes;1354607;?
481;party_simplified;DEMOCRAT;DEMOCRAT
2894;party_detailed;LIBERTARIAN;?
3336;totalvotes;359530;359530
2501;candidate_last_name;NADER;?
1306;party_simplified;OTHER;OTHER
3002;totalvotes;2458577;2458577
3149;state_po;KY;KY
465;state_po;MS;MS
3112;totalvotes;4114732;4114732
2053;candidate_last_name;NADER;NADER
324;state;ARIZONA;ARIZONA
195;candidate_last_name;FORD;FORD
508;candidate_first_name;MARTIN E.;JOHN B.
3402;party_detailed;INDEPENDENT;?
3238;party_simplified;OTHER;OTHER
3012;state;UTAH;UTAH
27;year;1976;?
1325;year;1992;?
2395;candidate_last_name;KERRY;KERRY
2358;totalvotes;778186;778186
2558;year;2008;?
840;totalvotes;6806810;?
2370;candidatevotes;30258;?
3051;party_detailed;GREEN;?
589;party_simplified;OTHER;OTHER
2097;state_po;OH;OH
2950;totalvotes;7116784;?
2750;candidate_first_name;RALPH;RALPH
1322;totalvotes;1790017;1790017
1127;state_po;OH;OH
3554;state_fips;26;26
1497;totalvotes;743998;?
1252;state;DELAWARE;DELAWARE
1960;party_detailed;CONSTITUTION PARTY;?
3156;state_po;LA;LA
218;candidatevotes;68;?
2462;state;WEST VIRGINIA;WEST VIRGINIA
3415;party_simplified;REPUBLICAN;REPUBLICAN
1711;party_detailed;LIBERTARIAN;LIBERTARIAN
405;state_fips;19;19
3541;candidate_last_name;WEST;?
1069;state_fips;28;28
3210;party_simplified;OTHER;OTHER
368;party_detailed;INDEPENDENT;?
2783;totalvotes;300495;?
1308;state_po;KS;KS
211;candidate_last_name;FORD;?
424;party_detailed;CITIZENS;?
2770;candidate_first_name;BOB;BOB
737;candidate_first_name;BOB;BOB
2844;candidatevotes;3840;?
3037;state_po;WI;WI
721;candidate_last_name;SERRETTE;SERRETTE
3041;year;2012;?
80;state;IOWA;?
542;candidatevotes;2206545;?
192;party_simplified;OTHER;OTHER
2059;party_detailed;LIBERTARIAN;LIBERTARIAN
520;party_simplified;OTHER;OTHER
2522;state_po;DE;DE
2395;state;OHIO;?
1370;candidate_first_name;BILL;BILL
2210;party_detailed;GREEN;?
188;candidatevotes;274878;?
1423;party_detailed;SOCIALIST WORKERS;?
1572;party_detailed;SOCIALIST;?
1833;year;1996;?
232;state;PENNSYLVANIA;PENNSYLVANIA
1229;candidatevotes;5121325;?
2230;year;2004;?
2553;totalvotes;655122;655122
649;state_po;AL;AL
2242;state_fips;10;10
2654;year;2008;?
2719;party_detailed;CONSTITUTION PARTY;?
2299;state;LOUISIANA;?
86;state_fips;20;20
2160;state;VERMONT;VERMONT
626;candidatevotes;9403;?
2915;candidate_first_name;JILL;JILL
1107;year;1988;?
1591;party_simplified;OTHER;OTHER
3019;state_fips;50;50
3059;state_po;AZ;AZ
371;candidatevotes;654168;?
935;candidate_first_name;WALTER;WALTER
2006;state_po;MD;MD
2096;totalvotes;288256;?
1785;totalvotes;1206713;?
381;state_fips;16;16
745;party_simplified;OTHER;OTHER
221;party_simplified;DEMOCRAT;DEMOCRAT
122;candidate_first_name;EUGENE GENE;EUGENE GENE
2144;candidate_first_name;AL;AL
1832;totalvotes;665629;665629
3744;candidatevotes;25;38491
3535;candidatevotes;10;4
98;state_po;KY;KY
2702;candidate_last_name;NADER;?
1390;candidate_last_name;BUSH;?
3024;candidatevotes;8627;?
