riga;nome attributo;valore da imputare;valore imputato
3339;Customer_Name;Patrick Gardner;Patrick Gardner
30;Ship_Mode;Second Class;?
997;Segment;Home Office;Home Office
918;Region;Central;Central
2907;Ship_Mode;Standard Class;?
3964;Product_ID;FUR-CH-10003535;?
744;Ship_Mode;Standard Class;?
2190;Customer_Name;Ben Ferrer;Ben Ferrer
4128;State;Texas;?
2749;Sales;5.76;?
784;Product_Name;DAX Two-Tone Silver Metal Document Frame;?
2933;Product_ID;OFF-LA-10004272;?
3726;Product_ID;OFF-LA-10001982;?
4333;Sub-Category;Storage;Storage
964;Region;West;West
1368;Sub-Category;Binders;Binders
2838;Product_ID;FUR-CH-10000553;?
134;Sub-Category;Binders;Binders
4221;Product_ID;OFF-BI-10002571;?
3924;Customer_Name;Eudokia Martin;Eudokia Martin
1586;State;California;California
1061;Sales;50.4;?
2028;Customer_ID;JH-15430;JH-15430
4288;Ship_Mode;Second Class;?
2316;City;Tamarac;?
4489;Ship_Mode;Standard Class;?
3871;State;New York;?
1966;Customer_Name;Michael Kennedy;Michael Kennedy
1887;Product_ID;OFF-PA-10004041;?
1211;City;Philadelphia;?
1252;Ship_Mode;Same Day;?
2729;Customer_Name;Kalyca Meade;Kalyca Meade
3337;Segment;Home Office;Home Office
3475;Sub-Category;Art;Art
2583;City;Los Angeles;?
2618;Product_ID;OFF-AP-10004336;?
4314;Customer_Name;Alex Grayson;Alex Grayson
3209;City;Homestead;?
2046;City;Charlotte;?
3555;Customer_ID;JE-15715;JE-15715
3220;Customer_Name;Jonathan Doherty;Jonathan Doherty
4195;Region;West;West
813;Ship_Mode;Same Day;?
3985;Customer_ID;RD-19930;RD-19930
1774;Product_Name;Avery Durable Poly Binders;?
305;Product_Name;Eldon Simplefile Box Office;?
3030;Region;South;South
3298;Sub-Category;Paper;Paper
1001;State;Utah;Utah
3485;Ship_Mode;Standard Class;?
3426;Segment;Corporate;Corporate
3713;Ship_Mode;Standard Class;?
1105;Sales;25.63;?
4480;Segment;Consumer;Consumer
1914;City;Rochester;?
3775;Customer_Name;Tracy Hopkins;Tracy Hopkins
2705;Region;East;East
3961;Customer_ID;DJ-13630;?
11;Segment;Consumer;Consumer
3697;Region;Central;Central
3913;Ship_Mode;Second Class;?
4191;Customer_Name;Anna Andreadi;Anna Andreadi
4032;State;New York;New York
926;Sales;1.94;?
2124;Region;East;East
2091;State;California;California
3735;Product_ID;OFF-PA-10001947;?
1971;Customer_Name;Shui Tom;Shui Tom
3527;State;Texas;?
1932;Region;West;West
2580;Product_ID;OFF-ST-10001469;?
4205;Ship_Mode;Standard Class;?
4223;Sub-Category;Appliances;Appliances
825;Region;West;West
2481;City;Little Rock;?
3122;Customer_Name;Pete Kriz;Pete Kriz
1160;Segment;Consumer;Consumer
3105;Region;East;East
4325;Ship_Mode;Standard Class;?
1326;State;Massachusetts;?
1023;Region;East;East
