riga;nome attributo;valore da imputare;valore imputato
360;provider_street_address;810 ST VINCENT\S DRIVE;1551 EAST TANGERINE ROAD
1201;codice;193;?
1968;codice;64;69
2081;average_total_payments;6262.0;14995.0
845;provider_id;450832;?
349;average_covered_charges;19513.0;?
1015;provider_id;150042;150082
1752;provider_street_address;8700 SUDLEY RD;?
1896;provider_street_address;28050 GRAND RIVER AVENUE;?
509;provider_name;WASHINGTON ST TAMMANY  REGIONAL MEDICAL CENTER;?
740;provider_city;KATY;?
2166;provider_id;110177;?
1130;average_medicare_payments;15626.0;?
713;average_medicare_payments;12497.0;?
538;average_total_payments;5910.0;3293.0
355;provider_name;OKLAHOMA STATE UNIVERSITY MEDICAL CENTER;?
2415;total_discharges;17;123
2387;total_discharges;39;131
2162;total_discharges;19;141
672;average_total_payments;6041.0;21218.0
1631;descrizione;OTHER DIGESTIVE SYSTEM DIAGNOSES W CC;BACK & NECK PROC EXC SPINAL FUSION WO CCMCC
1737;provider_street_address;3269 STOCKTON HILL ROAD;6 E CHESTNUT ST
813;total_discharges;22;76
2491;hospital_referral_region_(hrr)_description;MD - Baltimore;?
1624;descrizione;PULMONARY EMBOLISM WO MCC;?
833;provider_name;OAKBEND MEDICAL CENTER;COLISEUM NORTHSIDE HOSPITAL
614;average_medicare_payments;3625.0;?
212;provider_state;TX;?
1309;descrizione;G--I-- HEMORRHAGE WO CCMCC;?
2342;provider_id;10054;?
2023;descrizione;POISONING & TOXIC EFFECTS OF DRUGS WO MCC;SEPTICEMIA OR SEVERE SEPSIS WO MV 96+ HOURS W MCC
412;provider_name;OVERLOOK HOSPITAL;?
1731;average_covered_charges;17151.0;?
1884;provider_id;220073;?
1827;provider_street_address;2400 E 17TH ST;?
1106;provider_street_address;2720 STONE PARK BOULEVARD;?
801;total_discharges;102;?
484;provider_state;CT;?
1357;provider_state;IL;DE
1877;descrizione;HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC;?
1551;codice;871;872
2027;average_total_payments;20323.0;?
1818;average_medicare_payments;10824.0;?
2028;provider_city;INVERNESS;?
1071;descrizione;CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS WO CCMCC;CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC
2068;provider_state;AL;KY
1988;average_covered_charges;15675.0;?
1451;average_covered_charges;7355.0;?
1209;average_medicare_payments;5314.0;?
1164;provider_street_address;55 FOGG ROAD;?
1078;average_covered_charges;60392.0;?
2199;provider_name;FOREST HILLS HOSPITAL;?
1667;provider_state;FL;?
601;descrizione;LAPAROSCOPIC CHOLECYSTECTOMY WO C--D--E-- WO CCMCC;PULMONARY EDEMA & RESPIRATORY FAILURE
1752;provider_id;490045;?
994;provider_name;RIVER OAKS HOSPITAL;?
1452;hospital_referral_region_(hrr)_description;PA - Philadelphia;?
16;provider_state;TX;?
1916;descrizione;SEPTICEMIA OR SEVERE SEPSIS WO MV 96+ HOURS W MCC;?
1839;provider_city;MIDWEST CITY;?
1413;hospital_referral_region_(hrr)_description;AL - Mobile;?
1316;average_covered_charges;17723.0;?
1993;descrizione;SEPTICEMIA OR SEVERE SEPSIS WO MV 96+ HOURS WO MCC;SYNCOPE & COLLAPSE
1958;provider_name;ST JOSEPH HEALTH CENTER;?
2407;total_discharges;70;?
2467;average_covered_charges;75114.0;?
1987;provider_city;BOSTON;?
666;total_discharges;26;183
