riga;nome attributo;valore da imputare;valore imputato
3968;country;IT;IT
3192;rider_name;Fenati Romano;Bulega Nicolo
146;position;1;1
4059;bike_name;Yamaha;KR211V
3539;category;Moto3;Moto2
2496;category;Moto2;Moto3
1828;country;ES;IT
1778;circuit_name;Jerez;?
687;country;HU;FI
4230;rider;2689;?
3878;rider;2075;?
445;rider_name;Pesek Lukas;?
2825;number;8.0;8.0
740;category;MotoGP;MotoGP
4229;country;IT;IT
2247;bike_name;KTM;?
2562;shortname;AME;AME
1288;country;IT;IT
3565;rider_name;Binder Brad;?
733;category;125cc;125cc
1924;rider;2055;?
3145;category;Moto2;Moto2
259;team_name;Fortuna Aprilia;Team Toth Aprilia
1991;category;MotoGP;MotoGP
1430;shortname;JPN;?
136;category;250cc;250cc
465;circuit_name;Ricardo Tormo;?
1302;rider_name;Luthi Thomas;?
3116;team_name;Marinelli Rivacold Snipers;Team Italia FMI
146;rider_name;Capirossi Loris;?
3779;team_name;FLEXBOX HP 40;?
2681;category;Moto3;125cc
2387;circuit_name;Sachsenring;?
1527;points;20;25
3485;points;11;?
3027;number;41.0;41.0
344;country;AU;AR
4088;rider_name;Hook Josh;?
2893;points;16;?
2970;circuit_name;Brno;?
959;country;IT;FR
2399;number;12.0;46.0
1349;rider_name;Nieto Fonsi;?
3143;shortname;FRA;?
109;circuit_name;Donington Park;?
94;bike_name;Honda;Gilera
2835;position;5;?
874;country;SM;SM
2905;team_name;Garage Plus Interwetten;Interwetten-Paddock
2885;shortname;ITA;?
1129;number;18.0;27.0
4000;year;2020;?
936;points;25;?
2983;points;16;125
237;category;MotoGP;MotoGP
1153;rider;2059;?
26;category;MotoGP;MotoGP
310;circuit_name;Le Mans;?
4221;country;ES;ZA
183;bike_name;Honda;Kawasaki
1910;category;MotoGP;125cc
2054;shortname;FRA;?
2445;country;CZ;AU
1286;shortname;ITA;?
781;rider_name;Rossi Valentino;?
1825;category;Moto3;MotoGP
337;position;2;1
4136;position;1;?
644;team_name;Bancaja Aspar;?
4088;number;16.0;?
1152;position;2;?
2386;rider_name;Marquez Marc;?
3697;category;Moto2;Moto3
332;rider;2058;?
3751;rider_name;Tuuli Niki;Tuuli Niki
2819;bike_name;KTM;Honda
2219;rider_name;Marquez Alex;?
1296;rider_name;Lorenzo Jorge;?
3000;position;5;1
4174;category;Moto2;250cc
2729;country;IT;FR
1294;team_name;Bancaja Aspar Team;?
377;circuit_name;Sachsenring;?
629;category;MotoGP;MotoGP
3071;team_name;Red Bull KTM Ajo;?
3427;team_name;Pons HP40;Avant-AirAsia-Ajo
4030;points;11;?
2205;team_name;Mahindra Racing;?
2820;rider;2535;?
1697;rider;2058;?
4019;position;4;5
2227;circuit_name;Phillip Island;?
