riga;nome attributo;valore da imputare;valore imputato
1963;candidate_last_name;BUSH;?
330;candidate_last_name;COMMONER;?
3750;totalvotes;3298041;?
2609;candidate_first_name;CHARLES CHUCK;?
3485;state_fips;19;?
525;candidate_last_name;GRISWOLD;?
964;party_detailed;NEW ALLIANCE;MORE PERFECT DEMOCRACY
118;candidate_last_name;MACBRIDE;?
1908;candidatevotes;91434;?
2804;party_simplified;OTHER;?
2657;candidatevotes;1613207;915018
1788;candidatevotes;538152;584278
984;state;DELAWARE;?
3208;party_detailed;REPUBLICAN;?
1578;party_simplified;LIBERTARIAN;?
1282;state_fips;16;?
1800;candidatevotes;5783;545355
769;candidate_first_name;WALTER;MICHAEL
3110;candidate_first_name;DARRELL L.;?
3680;party_detailed;INDEPENDENT;WORKERS WORLD
3385;state_fips;8;?
2986;state;RHODE ISLAND;?
1062;state_fips;27;?
1392;state_po;NV;?
1276;party_simplified;OTHER;?
1202;totalvotes;176551;?
1799;year;1996;?
2422;state_fips;45;?
483;state_fips;31;?
2304;candidatevotes;1965;50165
2135;candidate_first_name;HOWARD;LESTER
2726;state_po;SD;?
994;party_detailed;REPUBLICAN;?
1350;state;MASSACHUSETTS;?
814;candidate_first_name;DAVID;JIMMY
3376;state;COLORADO;?
1792;candidate_first_name;HOWARD;?
442;candidatevotes;119537;23640
1549;party_detailed;NATURAL LAW;PROHIBITION
2587;totalvotes;1960761;?
167;party_simplified;OTHER;?
1149;candidatevotes;280;1915225
2542;candidatevotes;2048759;3882244
615;party_detailed;SOCIALIST WORKERS;UNAFFILIATED
1619;state;GEORGIA;?
1325;state_po;LA;?
3396;party_simplified;OTHER;?
3454;candidatevotes;16404;860643
3555;state_fips;26;?
1363;candidate_last_name;HERER;?
168;state_po;NJ;?
3305;candidatevotes;1742718;61046
2259;year;2004;?
151;party_simplified;OTHER;?
2403;party_simplified;DEMOCRAT;DEMOCRAT
2486;state_fips;5;?
176;state;NEW JERSEY;NEW JERSEY
3442;state;GEORGIA;?
714;state_po;ID;?
468;state_po;MS;?
1286;year;1992;2016
1465;party_simplified;REPUBLICAN;?
1955;state_po;ID;?
263;candidatevotes;337908;531852
1376;state;MISSOURI;?
2404;party_detailed;REPUBLICAN;?
2673;candidatevotes;2418323;167826
171;year;1976;1976
2431;candidatevotes;16428;841300
2189;candidate_first_name;PATRICK PAT;ALAN
778;totalvotes;3801658;?
1450;candidate_last_name;BUSH;?
2736;state_fips;49;?
2709;candidate_first_name;BARACK H.;?
1286;state;ILLINOIS;?
3670;candidate_last_name;TRUMP;?
2948;party_detailed;GREEN;WISCONSIN GREEN
2164;state;VIRGINIA;?
2693;state_fips;39;?
2610;totalvotes;5001596;?
3580;party_simplified;OTHER;?
519;state_po;NY;?
2812;candidate_last_name;MILLER;MATUREN
2334;party_detailed;SOCIALIST WORKERS;?
3041;state;WYOMING;?
2619;party_detailed;LIBERTARIAN;?
1202;state_fips;56;?
338;state;CALIFORNIA;?
2089;state_po;NC;?
763;state_fips;24;?
443;state;MARYLAND;?
3381;totalvotes;3279980;?
1726;party_detailed;DEMOCRAT;PROGRESSIVE
1580;state_fips;6;?
516;candidate_last_name;CARTER;?
1270;state;GEORGIA;?
3662;totalvotes;516990;?
3234;year;2016;?
1045;year;1988;1980
572;totalvotes;415967;?
241;party_simplified;REPUBLICAN;?
3229;state_fips;35;?
1187;candidate_last_name;PAUL;?
867;state;OREGON;?
68;party_detailed;REPUBLICAN;INDEPENDENTS FOR ECONOMIC RECOVERY
3381;state_fips;8;?
1663;year;1996;?
3727;state_po;VA;?
1504;party_detailed;DEMOCRAT;LIBERAL PARTY
448;candidate_last_name;DEBERRY;WINN
2637;state;MONTANA;?
3254;candidate_first_name;DONALD J.;JAMES G. JESSE VENTURA
3115;party_simplified;DEMOCRAT;?
1760;state_fips;36;?
611;party_detailed;CITIZENS;NO PARTY AFFILIATION
2446;candidate_first_name;JOHN;ZACHARY
1819;state_po;TN;?
1551;candidatevotes;80380;102000
2963;totalvotes;322932;?
1189;state;WASHINGTON;?
553;state_fips;40;21
2746;party_detailed;SOCIALISM AND LIBERATION PARTY;UNAFFILIATED
2870;state_po;KY;?
2418;party_simplified;DEMOCRAT;?
862;candidate_first_name;MELVIN;CLIFTON
1643;candidatevotes;887424;1014714
465;party_detailed;REPUBLICAN;?
2931;candidatevotes;369561;1825440
407;candidate_last_name;HALL;?
753;candidatevotes;3552;792853
2185;totalvotes;2598607;?
2306;year;2004;1988
2424;party_simplified;REPUBLICAN;?
312;year;1980;1976
362;party_detailed;LIBERTARIAN;?
1845;totalvotes;258449;?
2536;state_fips;12;?
1170;party_simplified;OTHER;?
3227;year;2016;?
1872;state_po;WY;?
3668;candidate_first_name;JO;BROCK
1976;party_simplified;OTHER;?
1010;state;IDAHO;?
249;party_simplified;DEMOCRAT;?
929;state_po;WA;?
3172;year;2016;?
626;state_fips;53;?
1769;party_simplified;REPUBLICAN;?
163;year;1976;1976
524;candidate_first_name;CLIFTON;ROQUE ROCKY
1878;state_fips;1;?
1063;state_fips;27;?
1786;candidate_last_name;BROWNE;?
2595;totalvotes;731163;?
225;party_simplified;OTHER;?
2133;state_fips;46;?
611;year;1980;?
2782;state_po;AK;?
2887;candidate_last_name;STEIN;?
3041;year;2012;?
2928;party_detailed;REPUBLICAN;?
811;year;1984;?
3286;year;2016;?
3682;candidatevotes;1;?
331;totalvotes;837582;767535
3419;candidatevotes;18586;1225938
594;party_simplified;OTHER;?
2600;totalvotes;2631596;?
2548;state;HAWAII;?
1500;candidate_first_name;nan;WALTER
3553;party_simplified;OTHER;?
2245;totalvotes;227586;?
1388;state_fips;31;?
2364;candidate_last_name;COBB;?
841;state;NORTH CAROLINA;?
2126;totalvotes;1383902;?
2236;state;DELAWARE;?
48;candidatevotes;23643;26047
862;state_po;OH;?
863;totalvotes;4563235;?
683;candidate_last_name;MASON;?
1637;party_simplified;REPUBLICAN;?
777;state_po;MI;?
1798;candidate_first_name;HARRY;?
993;totalvotes;192877;?
2437;totalvotes;927844;?
1525;party_simplified;OTHER;?
3624;state_po;NY;?
2921;candidate_first_name;MITT;GERALD
2574;state_po;IA;?
1849;candidatevotes;1091060;989609
1817;candidate_first_name;HARRY;?
3281;candidate_first_name;DARRELL L.;?
188;candidate_last_name;FORD;?
733;state_fips;19;?
1430;party_simplified;OTHER;?
2655;state_po;NH;?
1107;party_detailed;PROHIBITION;?
2933;year;2012;2016
2324;candidate_last_name;PEROUTKA;?
329;party_simplified;LIBERTARIAN;?
3166;party_simplified;DEMOCRAT;?
2212;party_simplified;REPUBLICAN;?
2042;candidate_first_name;HOWARD;GERALD
759;state;MAINE;?
3645;candidate_last_name;TRUMP;?
106;year;1976;1976
1859;state;WASHINGTON;?
1099;party_detailed;WORKERS WORLD;MORE PERFECT DEMOCRACY
1244;state_fips;9;?
2275;candidate_last_name;BUSH;?
3191;candidate_last_name;HEDGES;?
2132;state;SOUTH DAKOTA;?
1473;state;SOUTH CAROLINA;?
2025;candidate_first_name;RALPH;LOWELL JACKSON JACK
1871;totalvotes;211571;?
952;candidate_last_name;BUSH;?
2281;state;KANSAS;?
2655;candidate_last_name;BARR;?
3413;candidatevotes;1;10270
521;candidate_first_name;ELLEN;ROQUE ROCKY
3372;year;2020;?
2585;state;LOUISIANA;?
1184;year;1988;2016
191;party_detailed;COMMUNIST PARTY USE;?
959;state;ALASKA;?
3211;state_po;NV;?
628;year;1980;?
571;party_simplified;OTHER;?
405;candidatevotes;2273;653669
1646;party_simplified;DEMOCRAT;?
2519;party_detailed;REPUBLICAN;INTERNATIONAL DEVELOPMENT BANK
2529;year;2008;1976
1521;totalvotes;2287565;?
2643;state_fips;31;?
1012;party_simplified;DEMOCRAT;?
43;candidatevotes;103;14101
2284;candidatevotes;4013;312358
3543;year;2020;?
3521;year;2020;?
2982;state_po;PA;?
249;year;1976;1976
2394;state_fips;39;?
3219;totalvotes;3874046;?
2897;party_simplified;REPUBLICAN;?
513;candidate_first_name;BARRY;SONIA
2143;state;UTAH;?
3243;state_po;NC;?
132;state_fips;27;?
163;state;NEW HAMPSHIRE;?
2151;candidatevotes;149022;875635
448;state_po;MA;?
2691;totalvotes;5708350;?
3322;party_simplified;OTHER;?
2718;candidate_first_name;BOB;WILLIAM BILL
1793;year;1996;?
1838;totalvotes;258449;?
2903;party_detailed;LIBERTARIAN;?
2043;totalvotes;2359892;?
3513;candidate_first_name;R. PRESIDENT;LEONARD
2574;state_fips;19;?
2074;state;NEW MEXICO;?
2377;state_fips;36;?
565;candidate_last_name;COMMONER;WINN
2744;party_simplified;OTHER;?
3191;year;2016;?
1047;candidate_last_name;PAUL;?
3323;state_po;WI;?
1636;candidate_first_name;BILL;CHARLES CHUCK
19;candidate_first_name;LESTER;EDWARD
3262;candidate_last_name;CLINTON;?
3090;candidate_last_name;LYTTLE;?
2371;state;NEW MEXICO;?
3337;state_po;AK;?
2045;year;2000;?
795;state;MISSISSIPPI;?
876;state;RHODE ISLAND;?
2696;candidatevotes;8518;51098
952;party_detailed;REPUBLICAN;STATESMAN
888;candidatevotes;682;?
377;year;1980;2016
2623;state_fips;28;?
3149;state_fips;21;21
2958;candidatevotes;2270395;23186
667;candidatevotes;1461;?
2806;totalvotes;2569516;?
1413;state_po;NJ;?
3482;party_simplified;OTHER;?
1970;candidatevotes;15530;104683
1228;candidate_last_name;OTHER;MASTERS
2681;candidate_first_name;GLORIA ESTELLA;THOMAS J.
1640;candidate_first_name;HOWARD;HOWARD
355;party_simplified;OTHER;?
3507;candidate_first_name;KASEY;?
317;state_po;AK;?
767;candidatevotes;656;227206
2474;party_simplified;REPUBLICAN;?
725;year;1984;1976
789;state_po;MN;?
2902;totalvotes;2936561;?
3677;state_fips;47;?
1035;candidate_last_name;BUSH;?
2166;state;VIRGINIA;?
384;party_simplified;OTHER;?
64;party_detailed;LIBERTARIAN;?
2040;state;MISSOURI;?
2478;state_po;AK;?
3162;candidatevotes;943169;366846
2144;totalvotes;770754;?
1514;candidatevotes;1150517;989609
126;totalvotes;3651590;?
162;candidatevotes;147645;68160
1861;candidate_first_name;JAMES;JOHN
797;totalvotes;941104;?
1464;totalvotes;453365;?
349;state_po;CT;?
2091;candidatevotes;8874;66666
1221;totalvotes;1486975;?
78;party_detailed;COMMUNIST PARTY USE;SOCIALIST U.S.A.
2952;party_detailed;CONSERVATIVE;AMERICAN PARTY OF IOWA
3555;candidate_last_name;WELLS;?
1400;candidate_first_name;ANDRE;EDWARD ED
3200;year;2016;?
1920;state;CONNECTICUT;?
3312;state_po;WV;?
1603;candidatevotes;99062;111252
3232;party_simplified;OTHER;?
2121;party_detailed;REFORM PARTY;CONSTITUTIONAL GOVERNMENT
3681;state_po;TN;?
3521;candidate_first_name;JOSEPH R. JR;ANDREW
95;party_simplified;LIBERTARIAN;?
1673;state_po;ME;?
3534;candidate_first_name;MARK;?
664;year;1984;?
833;state;NEW YORK;?
2521;party_detailed;LIBERTARIAN;?
529;candidatevotes;9677;211419
3167;candidate_first_name;HILLARY;ARTHUR
3708;state_fips;50;?
441;candidatevotes;680606;654192
1345;candidate_first_name;LENORA;BENJAMIN BEN
2927;totalvotes;1014918;?
1730;party_detailed;NATURAL LAW;SOCIALIST U.S.A.
3000;state_fips;46;?
3631;candidatevotes;12195;137818
974;party_simplified;OTHER;OTHER
1671;state_fips;22;?
1046;totalvotes;1714358;?
1889;state_po;AZ;?
1198;candidatevotes;1126794;137818
2388;totalvotes;3501007;?
482;state_po;NE;?
1111;candidate_last_name;DUKAKIS;?
148;candidatevotes;24029;14101
2344;party_simplified;LIBERTARIAN;?
2253;state_fips;12;?
2268;candidatevotes;1115;126549
341;candidate_first_name;JIMMY;THOMAS ROBERT TOM
2154;candidate_first_name;PATRICK PAT;GLORIA ESTELLA
1154;party_simplified;REPUBLICAN;?
3235;state;NEW YORK;?
353;totalvotes;235668;?
2907;candidate_last_name;ANDERSON;?
386;party_simplified;DEMOCRAT;?
839;candidate_first_name;DENNIS;THOMAS J.
899;state_po;TN;?
2113;candidate_first_name;GEORGE W.;GERALD
2774;candidate_first_name;BRIAN;KASEY
1500;year;1992;?
2850;state_po;IL;?
2063;candidate_last_name;GORE;?
3528;year;2020;?
1175;state;VERMONT;?
3572;totalvotes;1313759;?
3499;party_simplified;OTHER;?
238;party_simplified;OTHER;?
476;state_po;MT;?
1339;year;1992;2016
390;totalvotes;4749721;?
165;totalvotes;339627;?
3525;candidate_last_name;DE LA FUENTE;?
1929;party_detailed;DEMOCRAT;AMERICAN DELTA PARTY
3069;candidate_first_name;HILLARY;ARTHUR
2890;candidatevotes;30195;954173
2825;state_fips;11;?
1315;party_detailed;LIBERTARIAN;BECOMING ONE NATION
1304;party_detailed;SOCIALIST WORKERS;GRASSROOTS
2075;party_simplified;OTHER;?
144;year;1976;1976
3605;year;2020;?
2767;state_fips;55;?
3305;state;WASHINGTON;?
2534;totalvotes;8390744;?
2050;state_fips;30;?
978;party_detailed;PROHIBITION;NATIONAL UNITY CAMPAIGN
372;state_fips;13;?
3525;state;MAINE;?
1930;year;2000;?
1407;state;NEW JERSEY;?
2422;year;2004;?
1510;state_fips;50;?
1313;year;1992;?
360;totalvotes;173889;?
306;candidate_first_name;JOHN B.;SHEILA SAMM
2450;candidate_first_name;MICHAEL;FRANK
2266;totalvotes;598376;?
2009;totalvotes;2025212;?
2276;candidatevotes;741898;693933
577;candidate_last_name;ANDERSON;?
511;state_fips;35;?
2324;candidate_first_name;MICHAEL;THOMAS ROBERT TOM
2330;totalvotes;2828387;?
2560;state_fips;17;?
3131;candidate_last_name;JOHNSON;?
3107;state;FLORIDA;?
388;state;ILLINOIS;?
211;state_fips;39;?
2529;candidate_first_name;BARACK H.;?
685;state;CONNECTICUT;?
2368;candidate_first_name;JOHN;BOB
812;candidatevotes;267050;545708
1356;party_detailed;NATURAL LAW;PROHIBITION PARTY
2237;candidate_first_name;GEORGE W.;CYNTHIA
2154;state_fips;50;?
851;year;1984;?
3509;candidate_first_name;JO;JAMES G. JESSE VENTURA
2419;candidatevotes;5520;346149
513;party_detailed;CITIZENS;NO PARTY AFFILIATION
823;state_fips;34;44
2621;year;2008;?
1834;year;1996;?
397;candidatevotes;4852;10270
2588;party_detailed;GREEN;LOUISIANA TAXPAYERS PARTY
733;totalvotes;1319805;?
2282;state_fips;20;?
168;party_detailed;REPUBLICAN;CONSTITUTION
232;state;PENNSYLVANIA;?
3083;party_simplified;OTHER;?
2616;candidatevotes;1573354;122461
2677;candidatevotes;41249;635274
3731;year;2020;?
619;candidate_first_name;BARRY;BENJAMIN BEN
798;totalvotes;941104;?
1816;party_simplified;DEMOCRAT;?
1468;state;RHODE ISLAND;?
1722;state;MONTANA;?
395;candidate_first_name;JOHN B.;THOMAS J.
1808;candidatevotes;186;14101
1598;candidate_first_name;RALPH;?
2271;state_po;IL;?
2718;state_po;SC;?
357;candidate_last_name;GREAVES;?
3203;state;NEBRASKA;?
2737;state_po;UT;?
349;party_detailed;DEMOCRAT;?
2353;candidatevotes;512814;915018
2748;party_detailed;DEMOCRAT;?
1328;candidate_last_name;HAGELIN;?
1145;year;1988;?
2615;party_simplified;OTHER;?
295;year;1976;1976
2056;candidate_last_name;GORE;?
1757;state;NEW YORK;?
2746;state_po;VT;?
1753;party_detailed;REPUBLICAN;SOCIALISM AND LIBERATION PARTY
3136;candidate_last_name;JOHNSON;?
448;party_detailed;SOCIALIST WORKERS;?
2777;party_simplified;DEMOCRAT;?
2189;state_fips;56;?
1473;party_detailed;DEMOCRAT;?
2404;candidatevotes;2793847;702541
1473;state_po;SC;?
1329;candidate_first_name;JOHN;DEIRDRE
2972;year;2012;?
305;state;ALABAMA;?
897;year;1984;?
2785;year;2012;?
3373;candidate_first_name;HOWIE;RONALD
1947;candidate_last_name;BUCHANAN;?
1944;candidate_last_name;BUSH;?
1693;year;1996;?
1986;state_fips;21;50
1048;totalvotes;1714358;?
612;candidate_last_name;CLARK;BRISBEN
1190;state_po;WA;?
2634;state_po;MO;?
320;candidatevotes;76952;333854
