riga;nome attributo;valore da imputare;valore imputato
2116;FilmID;tt0116606;?
3387;FilmID;tt1103259;?
2466;ActorID;nm3501146;nm3501146
2360;Rating;4.8;?
2304;Rating;5.1;?
1738;Votes;2236;?
2177;Actor;Julian McMahon;?
3717;Year;2009;?
2943;Rating;5.6;?
2503;Rating;5.4;?
327;Rating;4.7;4.7
2523;Actor;Estelle Harris;Estelle Harris
1539;Actor;Rob Huebel;Rob Huebel
3213;Votes;212;?
3728;Votes;7214;?
1064;Year;2016;?
1258;Actor;Renee Zellweger;?
1376;FilmID;tt6344664;?
18;FilmID;tt0331632;?
317;Rating;5.0;?
2425;ActorID;nm0005246;?
3072;Year;1995;?
1427;Rating;4.8;?
1804;Votes;41199;?
1778;Year;2006;?
3490;Actor;Rose Leslie;?
624;Rating;6.3;?
3779;FilmID;tt5834262;?
1504;Votes;3228;?
978;Rating;6.9;?
690;Year;1954;?
2090;Rating;6.2;?
3756;Film;Supervized;?
2933;Votes;107;?
1324;Year;2002;?
2278;Year;2019;?
158;ActorID;nm0551908;?
1985;Year;1997;?
1992;Year;1995;?
767;Actor;Fionnula Flanagan;Fionnula Flanagan
96;ActorID;nm0472891;nm0472891
485;Rating;7.1;?
1613;FilmID;tt0104321;?
2347;Year;2011;?
737;Film;Russian Roulette - Moscow 95;?
1466;Actor;Dylan Minnette;?
1975;Rating;6.7;?
3411;Year;1978;?
342;ActorID;nm0472891;nm0472891
926;Film;Diabolique;?
54;Year;1984;?
3734;Votes;353;?
1625;Film;John Paul Jones;?
14;Votes;6171;?
2222;Actor;Frank Welker;Frank Welker
3784;ActorID;nm1093951;?
2961;ActorID;nm0000044;?
370;FilmID;tt0072705;?
1034;Film;Dancer Texas Pop. 81;?
2106;Votes;16495;?
547;Votes;96822;?
1761;Rating;5.6;?
3415;Rating;4.5;?
906;Actor;Seth Rogen;?
3121;Actor;Donald Pleasence;?
3901;Actor;Miriam Margolyes;Miriam Margolyes
2879;ActorID;nm0832415;?
1296;Rating;4.9;?
12;FilmID;tt0094012;?
2065;Rating;5.1;?
1110;ActorID;nm1632403;?
2085;Votes;2666;?
2300;Year;2013;?
2758;FilmID;tt2334593;?
3177;FilmID;tt7248518;?
699;Film;Horton Hears a Who!;Horton Hears a Who!
3192;Votes;497;?
257;Year;2013;?
1678;FilmID;tt0144134;?
3709;Actor;Richard Dillane;?
1098;Film;The Hitchhiker's Guide to the Galaxy;?
1711;Actor;Tina Louise;?
771;Year;2011;?
2552;Year;2014;?
176;Film;The Cardinal;?
31;ActorID;nm0261170;?
554;Votes;95038;95038
219;ActorID;nm0686032;?
2182;Film;Liquid Dreams;?
3664;Film;Gothic;?
3787;Year;2008;?
3908;ActorID;nm0563039;?
2070;Actor;Leslie Jordan;?
3810;FilmID;tt0164810;?
2672;ActorID;nm0430667;?
2788;Film;1408;?
3953;ActorID;nm0751018;?
1462;Votes;4757;?
487;Actor;Ed Harris;?
2864;Votes;77730;?
2417;ActorID;nm0005439;?
1448;Actor;Lloyd Bridges;Lloyd Bridges
3830;Votes;1091;?
2045;Votes;16745;?
3966;Actor;Cree Cicchino;?
1479;Film;A Monkey's Tale;?
3420;Rating;6.2;?
345;Year;2001;?
2713;Actor;Caitlin McGee;?
2442;Year;2012;?
901;FilmID;tt0487156;?
1422;Actor;Burt Young;Burt Young
2517;Film;Halloween;?
1577;Actor;Melissa Leo;Melissa Leo
2292;Rating;7.0;?
1914;Film;A Beautiful Day in the Neighborhood;?
308;FilmID;tt4372390;?
3453;Rating;4.8;?
1800;Actor;Burt Lancaster;?
2758;Votes;1201;?
1753;Rating;6.3;?
1582;Actor;Noel Gugliemi;Noel Gugliemi
19;Film;Popstar: Never Stop Never Stopping;Popstar: Never Stop Never Stopping
1546;Actor;Jeff Goldblum;?
2345;Year;2019;?
3931;Year;1926;?
3981;Film;Space Chimps;?
2213;Rating;8.4;8.4
3845;Actor;Izabella Miko;?
592;Actor;Zach Galifianakis;?
1711;Rating;5.5;?
3021;FilmID;tt2080374;?
2225;ActorID;nm0000863;?
2205;ActorID;nm0001218;?
1197;Actor;Max Burkholder;Max Burkholder
3885;Votes;462;?
1836;Year;1973;?
632;FilmID;tt0762114;?
299;Film;Slackers;?
3916;FilmID;tt0061034;?
1995;Film;Inner Sanctum;?
650;Film;Stonewall;?
2272;FilmID;tt3061222;?
1800;ActorID;nm0000044;?
1362;Film;The Light in the Forest;?
1864;Rating;7.1;?
499;FilmID;tt1525366;?
384;Rating;5.4;?
2441;Actor;Fred Tatasciore;?
294;Rating;5.5;?
66;Actor;Jim Broadbent;Jim Broadbent
2200;Film;Sticky Notes;Sticky Notes
1688;Film;Growing Op;?
31;Actor;Jennifer Esposito;?
3045;Film;Married to the Mob;Married to the Mob
3788;Actor;Jamey Sheridan;Jamey Sheridan
433;FilmID;tt0067531;?
3389;ActorID;nm2898911;?
2674;FilmID;tt3062096;?
739;Actor;Kate Magowan;?
180;FilmID;tt0082817;?
2399;Film;Morning;?
3621;FilmID;tt4104354;?
1518;ActorID;nm0480465;?
1194;Rating;8.3;?
2878;Actor;Teresa Ganzel;?
1767;Film;Zodiac;?
3606;Votes;65826;?
2565;ActorID;nm0000722;?
2932;Actor;Paul Ritter;?
1646;Votes;150901;?
1120;FilmID;tt0271200;?
2152;Votes;36367;?
1773;Rating;6.6;?
2533;ActorID;nm0440913;?
11;Votes;9309;1533079
2779;Year;2016;?
2519;Film;Memoirs of a Teenage Amnesiac;?
2476;Year;2011;?
3033;Actor;Adam Goldberg;?
1540;ActorID;nm0005013;?
3016;ActorID;nm0448252;?
1003;Year;1990;?
1029;Votes;4199;?
2394;Film;Our Virgin Island;?
2450;Rating;5.4;?
852;Year;1999;?
1524;Actor;Harrison Ford;Harrison Ford
2490;Film;Rio 2;Rio 2
3818;FilmID;tt0289589;?
3003;Film;Fate;?
1466;Film;Prisoners;Prisoners
1495;FilmID;tt0055841;?
529;Rating;5.3;?
1889;Film;The Evil That Men Do;?
1208;Votes;38931;?
3595;Votes;1821;1821
1666;Votes;1073;?
3111;Film;Death Drug;?
3497;Votes;504339;?
442;Actor;Tippi Hedren;Tippi Hedren
1354;Actor;Mike Starr;?
1877;Votes;73405;?
88;FilmID;tt6141246;?
2936;Rating;5.0;?
3354;Votes;8287;?
884;Rating;6.4;6.4
3339;Film;L.A. Slasher;?
817;FilmID;tt2015315;?
3426;Film;The Tulse Luper Suitcases Part 2: Vaux to the Sea;The Tulse Luper Suitcases Part 2: Vaux to the Sea
1033;Year;2018;?
3784;FilmID;tt0430674;?
841;ActorID;nm0775087;?
1700;Votes;722283;?
1471;Film;Arnold;?
6;Rating;6.3;?
2063;Votes;28356;?
1594;Year;2003;?
2830;ActorID;nm0291918;?
961;Rating;7.7;?
133;Film;Twilight;?
793;Votes;86149;?
2446;Rating;6.8;?
811;ActorID;nm0002011;?
3493;Film;Unexpected;?
3692;ActorID;nm0000179;?
2102;Actor;James Van Der Beek;?
2760;Year;2008;?
56;Film;To All the Boys I've Loved Before;?
2692;Film;Payment Deferred;?
2169;FilmID;tt0045039;?
1440;Film;Passionada;?
2129;ActorID;nm0146903;?
2918;Year;1987;?
1579;Year;1962;?
3683;Year;2015;?
39;Year;2007;?
1181;Actor;Violett Beane;?
957;FilmID;tt6343314;?
240;FilmID;tt9165824;?
1417;Votes;6617;?
3579;ActorID;nm0000063;?
1860;Year;2013;2013
77;Rating;3.9;?
1069;Film;I Wonder Who's Killing Her Now?;?
2767;FilmID;tt3891538;?
2805;Actor;Steve McQueen;?
3381;Film;Mame;?
63;Votes;52121;?
1550;ActorID;nm0002064;?
2366;Rating;5.8;?
325;Actor;Douglas Henshall;Douglas Henshall
3765;Film;Harry Potter and the Half-Blood Prince;Harry Potter and the Half-Blood Prince
2328;ActorID;nm0184392;?
338;Rating;5.1;?
1015;Actor;Jeremy Renner;?
3475;Rating;5.9;?
3908;FilmID;tt0444736;?
2091;FilmID;tt0405508;?
898;Rating;6.0;?
755;ActorID;nm0635330;?
3110;Votes;5693;?
1217;ActorID;nm0942482;?
1063;Film;Going Under;Going Under
3258;ActorID;nm0001080;?
3123;FilmID;tt1560220;?
790;Rating;6.6;?
1240;Year;2000;?
3863;Year;1972;?
595;Rating;6.7;?
3685;FilmID;tt1767372;?
3253;Rating;2.9;?
2604;Votes;103;?
811;Actor;Lee J. Cobb;?
