riga;nome attributo;valore da imputare;valore imputato
611;State;Ohio;Ohio
168;State;California;California
3866;State;New York;?
1227;Ship_Mode;Standard Class;Standard Class
1801;Segment;Corporate;Corporate
1642;Ship_Mode;Standard Class;?
3328;Sub-Category;Furnishings;Furnishings
4088;Customer_Name;Justin Ritter;?
927;Product_ID;FUR-CH-10003774;?
3281;City;New York City;?
3316;Region;West;West
2503;Sales;479.97;?
3568;State;Florida;?
1259;Product_Name;Manco Dry-Lighter Erasable Highlighter;Manco Dry-Lighter Erasable Highlighter
1413;Customer_Name;Phillip Flathmann;Phillip Flathmann
1300;Sales;686.4;?
2863;Ship_Mode;First Class;?
2963;Sub-Category;Binders;Binders
2087;Region;South;South
3313;Region;Central;Central
293;Sales;47.96;35.97
838;Product_Name;Deflect-o EconoMat Studded No Bevel Mat for Low Pile Carpeting;Deflect-o EconoMat Studded No Bevel Mat for Low Pile Carpeting
3554;Product_ID;OFF-BI-10003684;?
2281;Sales;10.69;?
639;Product_ID;FUR-FU-10004665;?
3472;Ship_Mode;Second Class;?
4327;Segment;Consumer;?
1817;Sub-Category;Tables;Tables
577;Sub-Category;Phones;Phones
2585;Sub-Category;Furnishings;Furnishings
3385;Segment;Corporate;Corporate
17;Sales;239.98;239.98
3513;Sub-Category;Storage;?
3673;Region;East;East
2678;Customer_ID;MA-17995;MA-17995
2492;Sub-Category;Paper;Paper
2504;Segment;Consumer;?
3289;Customer_Name;Sally Matthias;Sally Matthias
198;Sub-Category;Paper;?
3628;City;Redondo Beach;?
3555;Ship_Mode;Standard Class;?
1962;Segment;Consumer;Consumer
3274;Sub-Category;Labels;Labels
710;Product_ID;FUR-TA-10002356;OFF-BI-10004465
217;Customer_ID;RB-19705;RB-19705
2643;State;Georgia;?
1272;Region;East;East
3570;Customer_ID;KH-16330;KH-16330
1757;City;Carlsbad;?
3040;Customer_Name;Heather Jas;Heather Jas
4035;Product_Name;KeyTronic KT400U2 - Keyboard - Black;?
422;Customer_ID;BD-11770;DO-13435
3219;Region;South;South
161;Region;Central;South
1847;Ship_Mode;First Class;?
2537;Ship_Mode;Standard Class;?
3375;Sub-Category;Accessories;?
1519;Sales;892.22;?
44;State;Arizona;Arizona
2771;Sub-Category;Labels;?
3605;State;Florida;?
825;State;California;California
1855;Customer_Name;Joe Kamberova;Joe Kamberova
3151;State;California;?
1005;Region;South;South
3797;Product_ID;OFF-BI-10000404;?
2013;Region;Central;Central
1284;Product_ID;TEC-AC-10000926;?
3294;Ship_Mode;Standard Class;?
3249;Customer_Name;Duane Huffman;Duane Huffman
1267;Sales;61.12;?
1162;Segment;Consumer;Consumer
1134;Region;West;West
3421;Customer_Name;Erin Ashbrook;?
1709;Product_Name;Bush Heritage Pine Collection 5-Shelf Bookcase Albany Pine Finish *Special Order;?
3935;Sub-Category;Furnishings;Furnishings
3599;Product_Name;Avery 473;?
3864;Customer_ID;ZC-21910;ZC-21910
4332;Customer_ID;EB-13930;EB-13930
487;City;Chicago;?
1647;Region;South;South
2983;Product_Name;Grandstream GXP1160 VoIP phone;?
2321;Product_Name;Coloredge Poster Frame;?
2866;Product_Name;Acme Preferred Stainless Steel Scissors;Acme Preferred Stainless Steel Scissors
4161;Region;Central;Central
185;Customer_ID;HG-14845;HG-14845
2508;Segment;Corporate;Corporate
2607;State;Ohio;?
2411;Customer_ID;RA-19285;?
4276;City;Mcallen;Mcallen
1679;Segment;Consumer;Consumer
880;Product_ID;OFF-PA-10003349;OFF-FA-10000735
1065;Product_Name;Xerox 192;Xerox 192
1252;Product_Name;Xerox 212;Xerox 212
1288;Ship_Mode;Standard Class;?
4222;Region;West;West
1014;City;Caldwell;?
338;Customer_Name;Troy Blackwell;?
2857;City;Jonesboro;?
2081;Product_Name;GBC DocuBind TL300 Electric Binding System;?
1559;Sub-Category;Paper;Paper
4450;City;San Francisco;?
1839;Customer_ID;GB-14575;GB-14575
2453;Segment;Consumer;Consumer
1633;Product_Name;Southworth 100% Rsum Paper 24lb.;Southworth 100% Rsum Paper 24lb.
2780;Product_Name;Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector;Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector
149;Product_Name;Fellowes Recycled Storage Drawers;?
4328;City;Jackson;?
3049;State;Pennsylvania;Pennsylvania
4481;Segment;Consumer;Consumer
3673;Sales;1522.64;?
4499;Ship_Mode;Standard Class;?
1801;Sales;8.93;?
1931;Product_Name;Wilson Jones 1 Hanging DublLock Ring Binders;?
2916;Customer_Name;Lena Creighton;Lena Creighton
1273;Product_Name;Avery Fluorescent Highlighter Four-Color Set;?
466;Sales;163.44;?
4293;Customer_ID;BS-11590;BS-11590
2991;Region;West;West
4179;Sales;77.52;?
4015;State;California;California
690;Customer_Name;Dennis Kane;?
2194;Segment;Consumer;Consumer
2955;Segment;Consumer;Consumer
1036;Customer_Name;Darrin Martin;?
2294;City;Chicago;?
4228;Ship_Mode;Standard Class;Standard Class
2148;Product_Name;Newell 318;?
2394;Region;East;?
777;Sub-Category;Envelopes;?
3764;Segment;Consumer;Corporate
2374;Product_Name;Hon Deluxe Fabric Upholstered Stacking Chairs Rounded Back;?
1881;Segment;Consumer;Consumer
2699;Sales;8.75;?
32;Customer_ID;RR-19525;?
4094;Customer_ID;DR-12940;DR-12940
768;Product_Name;Multicolor Computer Printout Paper;?
3266;Customer_Name;Thea Hudgings;Thea Hudgings
2259;Region;East;East
383;Sub-Category;Paper;Art
1688;State;Pennsylvania;Pennsylvania
3232;Customer_Name;Christopher Conant;Christopher Conant
2541;Sub-Category;Tables;?
85;Customer_ID;LT-17110;LT-17110
670;Customer_ID;GT-14755;GT-14755
979;Region;East;East
4486;Sales;56.3;?
658;Customer_Name;Philisse Overcash;Philisse Overcash
1914;State;New York;New York
1465;State;Washington;Washington
1964;Customer_ID;SP-20920;?
4430;Segment;Corporate;Corporate
956;Customer_ID;MB-17305;MB-17305
2149;Segment;Consumer;Consumer
1563;City;Parker;?
2660;Sales;332.94;?
1738;Ship_Mode;Standard Class;?
2461;City;Chicago;?
3745;Product_ID;OFF-SU-10002189;?
1703;Segment;Corporate;Corporate
